Rk,Player,Nation,Squad,Age,Pos,Min,90s,Gls,G-PK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Ast,xAG,G+A,G+A-PK,xG+xAG,KP,PPA,CrsPA,PrgP,PrgC,PrgR,SCA,GCA,Carries,Att Pen,CPA,Rec
2408,Armindo Sieb,de GER,Mainz 05,21.0,"FW,MF",762,8.5,2,2,0,0,2.8,2.8,0.1,-0.8,29,7,24.1,3.43,0.83,0.07,0.29,16.3,2,1.1,4,0.47,0.47,8,8,2,18,28,64,17,4,184,46,8,238
2412,Zain Silcott-Duberry,ms MSR,Bournemouth,19.0,FW,1,0.0,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,2
2414,André Silva,pt POR,Werder Bremen,28.0,FW,375,4.2,1,0,1,2,2.6,1.0,0.08,-1.6,12,5,41.7,2.88,1.2,0.0,0.0,16.6,0,0.4,1,0.0,0.71,5,6,1,10,6,28,15,1,103,26,4,124
2415,André Silva,pt POR,RB Leipzig,28.0,"FW,MF",132,1.5,1,0,1,1,1.3,0.5,0.07,-0.3,7,2,28.6,4.77,1.36,0.0,0.0,21.1,2,0.6,3,1.36,1.28,3,1,0,4,6,11,7,2,35,10,3,39
2416,Bernardo Silva,pt POR,Manchester City,29.0,"MF,FW",2670,29.7,4,4,0,0,3.9,3.9,0.12,0.1,32,11,34.4,1.08,0.37,0.13,0.36,12.4,4,5.1,8,0.27,0.3,53,40,7,134,101,200,92,8,1288,141,32,1518
2418,Fábio Silva,pt POR,Las Palmas,22.0,FW,1866,20.7,10,8,2,3,8.8,6.4,0.14,1.2,46,20,43.5,2.22,0.96,0.17,0.4,14.8,3,2.0,13,0.53,0.52,16,14,3,26,30,119,43,5,330,101,21,491
2419,Jota Silva,pt POR,Nott'ham Forest,24.0,"FW,MF",854,9.5,3,3,0,0,2.1,2.1,0.09,0.9,23,7,30.4,2.42,0.74,0.13,0.43,14.5,1,2.9,4,0.42,0.53,14,9,3,18,21,59,29,3,175,46,9,202
2423,Abdallah Sima,sn SEN,Brest,23.0,"FW,MF",1238,13.8,7,7,0,0,5.9,5.9,0.16,1.1,37,18,48.6,2.69,1.31,0.19,0.39,13.1,2,1.0,9,0.65,0.5,13,6,1,24,36,92,28,3,299,66,20,378
2425,Giovanni Simeone,ar ARG,Napoli,29.0,FW,419,4.7,1,1,0,0,2.6,2.6,0.2,-1.6,13,3,23.1,2.79,0.64,0.08,0.33,16.0,1,0.8,2,0.43,0.73,8,2,0,7,11,30,12,2,110,22,3,144
2427,Moses Simon,ng NGA,Nantes,29.0,"FW,MF",2609,29.0,8,4,4,4,5.8,2.7,0.07,2.2,40,13,32.5,1.38,0.45,0.1,0.31,19.6,10,6.7,18,0.48,0.43,56,41,24,59,147,222,108,15,731,129,60,778
