Rk,Player,Nation,Squad,Age,Pos,Min,90s,Gls,G-PK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Ast,xAG,G+A,G+A-PK,xG+xAG,KP,PPA,CrsPA,PrgP,PrgC,PrgR,SCA,GCA,Carries,Att Pen,CPA,Rec
2576,Ramón Terrats,es ESP,Getafe,23.0,"MF,FW",1219,13.5,4,4,0,0,2.2,2.2,0.11,1.8,19,8,42.1,1.4,0.59,0.21,0.5,21.6,1,2.5,5,0.37,0.35,16,9,3,36,8,37,32,2,256,23,4,291
2577,Martin Terrier,fr FRA,Leverkusen,27.0,"MF,FW",584,6.5,2,2,0,0,2.4,2.4,0.15,-0.4,16,6,37.5,2.47,0.92,0.13,0.33,13.6,1,0.9,3,0.46,0.52,8,5,1,14,11,35,21,3,129,35,4,205
2582,Florian Thauvin,fr FRA,Udinese,31.0,"FW,MF",1956,21.7,8,7,1,3,8.1,5.7,0.11,-0.1,51,23,45.1,2.35,1.06,0.14,0.3,18.5,3,3.8,11,0.46,0.55,39,43,20,90,92,148,93,9,682,82,34,790
2585,Thiago,br BRA,Brentford,23.0,"FW,MF",175,1.9,0,0,0,0,0.1,0.1,0.06,-0.1,2,0,0.0,1.03,0.0,0.0,,14.8,0,0.1,0,0.0,0.1,2,2,0,4,3,8,3,0,45,4,1,51
2589,Sorba Thomas,wls WAL,Nantes,24.0,"FW,MF",1321,14.7,1,1,0,0,1.5,1.5,0.17,-0.5,9,1,11.1,0.61,0.07,0.11,1.0,17.0,3,3.7,4,0.27,0.35,36,24,17,34,41,93,54,6,372,20,7,427
2591,Morten Thorsby,no NOR,Genoa,28.0,"MF,FW",1898,21.1,0,0,0,0,2.8,2.8,0.19,-2.8,15,6,40.0,0.71,0.28,0.0,0.0,12.2,1,2.1,1,0.05,0.23,27,10,1,58,24,76,55,2,295,66,6,470
2593,Marcus Thuram,fr FRA,Inter,26.0,FW,2200,24.4,14,14,0,0,9.9,9.9,0.15,4.1,64,27,42.2,2.62,1.1,0.22,0.52,13.1,4,4.4,18,0.74,0.56,39,27,4,53,62,170,90,16,453,160,36,612
2596,Kieran Tierney,sct SCO,Arsenal,27.0,"DF,FW",259,2.9,1,1,0,0,0.4,0.4,0.18,0.6,2,1,50.0,0.69,0.35,0.5,1.0,4.1,0,1.4,1,0.35,0.6,8,5,2,15,8,29,10,0,108,6,1,143
2597,Phillip Tietz,de GER,Augsburg,27.0,FW,1686,18.7,7,6,1,1,6.1,5.3,0.1,0.9,51,19,37.3,2.72,1.01,0.12,0.32,16.3,2,1.2,9,0.43,0.39,22,9,1,29,8,113,48,5,347,89,4,502
2601,Umut Tohumcu,de GER,Hoffenheim,19.0,"MF,FW",375,4.2,0,0,0,0,0.1,0.1,0.04,-0.1,3,1,33.3,0.72,0.24,0.0,0.0,26.3,1,0.4,1,0.24,0.12,3,0,0,13,3,5,6,1,91,0,0,102
2605,Raúl de Tomás,es ESP,Rayo Vallecano,29.0,"DF,FW",22,0.2,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0,0,8,1,0,10
2606,Tiago Tomás,pt POR,Wolfsburg,22.0,"FW,MF",1884,20.9,6,6,0,0,5.4,5.4,0.13,0.6,42,20,47.6,2.01,0.96,0.14,0.3,16.0,1,2.6,7,0.33,0.38,20,13,3,50,31,125,55,8,503,78,14,556
2611,Pablo Torre,es ESP,Barcelona,21.0,"MF,FW",310,3.4,3,3,0,0,0.4,0.4,0.06,2.6,6,4,66.7,1.74,1.16,0.5,0.75,23.5,1,0.8,4,1.16,0.33,8,4,1,17,5,20,18,3,130,10,0,190
2613,Ferrán Torres,es ESP,Barcelona,24.0,"FW,MF",1106,12.3,10,10,0,0,8.0,8.0,0.17,2.0,48,22,45.8,3.91,1.79,0.21,0.45,14.6,6,3.1,16,1.3,0.9,19,18,2,35,23,98,38,7,291,81,13,397
2618,Bazoumana Touré,ci CIV,Hoffenheim,18.0,"FW,MF",609,6.8,0,0,0,0,1.4,1.4,0.07,-1.4,19,5,26.3,2.81,0.74,0.0,0.0,17.6,3,1.9,3,0.44,0.49,13,11,5,14,24,56,25,4,183,36,11,198
2624,Adama Traoré,es ESP,Fulham,28.0,"FW,MF",1772,19.7,2,2,0,0,4.0,4.0,0.1,-2.0,39,12,30.8,1.98,0.61,0.05,0.17,14.2,7,4.9,9,0.46,0.45,42,38,22,68,100,161,82,10,538,91,33,607
2635,Leandro Trossard,be BEL,Arsenal,29.0,FW,2546,28.3,8,8,0,0,7.2,7.2,0.1,0.8,72,21,29.2,2.55,0.74,0.11,0.38,15.9,7,6.1,15,0.53,0.47,41,48,10,101,80,226,93,8,828,158,30,956
2638,Viktor Tsyhankov,ua UKR,Girona,26.0,"FW,MF",1913,21.3,2,2,0,0,2.8,2.8,0.08,-0.8,35,9,25.7,1.65,0.42,0.06,0.22,19.9,5,3.9,7,0.33,0.31,33,24,6,65,62,195,65,8,650,74,27,770
2643,Christantus Uche,ng NGA,Getafe,21.0,"FW,MF",2486,27.6,4,4,0,0,3.8,3.8,0.08,0.2,50,14,28.0,1.81,0.51,0.08,0.29,17.1,6,2.9,10,0.36,0.24,29,16,4,49,43,148,78,10,553,105,18,726
2649,Enes Ünal,tr TUR,Bournemouth,27.0,"FW,MF",345,3.8,2,2,0,0,2.7,2.7,0.14,-0.7,20,7,35.0,5.22,1.83,0.1,0.29,14.6,1,0.4,3,0.78,0.82,4,4,0,12,4,22,9,3,91,26,1,133
2650,Deniz Undav,de GER,Stuttgart,28.0,"FW,MF",1726,19.2,9,9,0,0,11.7,11.7,0.16,-2.7,75,31,41.3,3.91,1.62,0.12,0.29,13.9,3,3.6,12,0.63,0.79,26,27,2,70,31,141,58,8,469,118,12,624
2656,Can Uzun,tr TUR,Eint Frankfurt,18.0,"MF,FW",675,7.5,4,4,0,0,3.0,3.0,0.11,1.0,27,11,40.7,3.6,1.47,0.15,0.36,16.3,1,1.1,5,0.67,0.55,14,18,4,42,11,45,38,3,265,31,4,315
2674,Jamie Vardy,eng ENG,Leicester City,37.0,FW,2823,31.4,9,8,1,2,11.2,9.6,0.17,-2.2,56,23,41.1,1.79,0.73,0.14,0.35,12.1,4,3.0,13,0.38,0.45,19,10,1,22,29,120,47,10,285,111,16,382
2675,Ruben Vargas,ch SUI,Sevilla,25.0,"FW,MF",671,7.5,2,2,0,0,2.0,2.0,0.12,0.0,17,5,29.4,2.28,0.67,0.12,0.4,13.8,1,0.8,3,0.4,0.37,13,9,5,14,29,63,31,3,186,30,11,231
2676,Ruben Vargas,ch SUI,Augsburg,25.0,"MF,FW",305,3.4,0,0,0,0,0.7,0.7,0.08,-0.7,9,1,11.1,2.66,0.3,0.0,0.0,16.7,0,0.7,0,0.0,0.4,6,5,1,13,9,24,17,0,109,12,1,137
2682,Robinio Vaz,fr FRA,Marseille,17.0,FW,75,0.8,0,0,0,0,0.5,0.5,0.25,-0.5,2,0,0.0,2.4,0.0,0.0,,9.7,0,0.0,0,0.0,0.61,0,0,0,0,3,6,3,2,12,9,2,14
2689,Alejo Véliz,ar ARG,Espanyol,20.0,FW,1127,12.5,1,1,0,0,2.3,2.3,0.12,-1.3,19,6,31.6,1.52,0.48,0.05,0.17,10.7,0,0.6,1,0.08,0.22,3,0,0,8,2,27,14,4,123,30,0,205
2693,Lorenzo Venturino,it ITA,Genoa,18.0,"FW,MF",167,1.9,2,2,0,0,0.7,0.7,0.18,1.3,4,3,75.0,2.16,1.62,0.5,0.67,15.5,0,0.2,2,1.08,0.49,3,3,1,7,5,10,6,1,39,6,2,44
2696,Simone Verdi,it ITA,Como,32.0,"MF,FW",115,1.3,0,0,0,0,0.1,0.1,0.06,-0.1,2,2,100.0,1.57,1.57,0.0,0.0,26.3,0,0.5,0,0.0,0.47,6,3,3,5,3,13,8,0,44,1,1,51
2699,Yorbe Vertessen,be BEL,Union Berlin,23.0,"MF,FW",718,8.0,1,1,0,0,1.3,1.3,0.05,-0.3,27,5,18.5,3.38,0.63,0.04,0.2,20.5,0,1.6,1,0.13,0.36,15,14,2,16,18,42,32,0,194,26,4,227
2704,Carlos Vicente,es ESP,Alavés,25.0,"FW,MF",3092,34.4,5,4,1,1,3.5,2.7,0.08,1.5,35,13,37.1,1.02,0.38,0.11,0.31,18.2,5,5.4,10,0.26,0.26,63,38,29,68,104,226,107,9,781,86,28,898
2705,Pau Victor,es ESP,Barcelona,22.0,FW,319,3.5,2,2,0,0,3.0,3.0,0.22,-1.0,14,8,57.1,3.95,2.26,0.14,0.25,15.2,1,0.9,3,0.85,1.09,8,4,0,11,6,28,13,2,92,21,6,125
2712,Asier Villalibre,es ESP,Alavés,26.0,FW,333,3.7,1,0,1,1,1.6,0.8,0.1,-0.6,8,1,12.5,2.16,0.27,0.0,0.0,14.7,1,1.0,2,0.27,0.69,1,4,0,7,4,18,7,1,55,22,3,75
2714,Carlos Vinícius,br BRA,Fulham,29.0,"MF,FW",16,0.2,0,0,0,0,0.0,0.0,0.04,0.0,1,1,100.0,5.63,5.63,0.0,0.0,17.4,0,0.0,0,0.0,0.21,0,0,0,0,1,3,2,0,7,2,1,6
2715,Nicolas Viola,it ITA,Cagliari,34.0,"FW,MF",1267,14.1,3,3,0,0,2.2,2.2,0.07,0.8,31,9,29.0,2.2,0.64,0.1,0.33,20.4,1,1.9,4,0.28,0.29,28,11,2,46,21,70,59,4,326,34,7,389
2718,Vitinha,pt POR,Genoa,24.0,"FW,MF",1328,14.8,2,2,0,0,1.6,1.6,0.05,0.4,33,5,15.2,2.24,0.34,0.06,0.4,20.3,3,3.3,5,0.34,0.34,16,10,7,19,38,71,41,3,309,54,16,348
2722,Dušan Vlahović,rs SRB,Juventus,24.0,FW,1784,19.8,10,6,4,4,12.3,9.2,0.13,-2.3,73,25,34.2,3.68,1.26,0.08,0.24,15.9,4,1.3,14,0.5,0.69,15,7,0,22,27,117,41,8,308,125,17,431
2723,Vanja Vlahović,rs SRB,Atalanta,20.0,"FW,MF",60,0.7,0,0,0,0,0.2,0.2,0.16,-0.2,1,1,100.0,1.5,1.5,0.0,0.0,14.2,0,0.1,0,0.0,0.38,2,0,0,0,0,5,3,1,13,7,0,12
2724,Nikola Vlašić,hr CRO,Torino,26.0,"MF,FW",2117,23.5,5,3,2,2,3.4,1.8,0.06,1.6,30,10,33.3,1.28,0.43,0.1,0.3,22.2,4,2.4,9,0.3,0.25,32,24,4,94,53,110,70,8,607,59,12,713
2730,Kevin Volland,de GER,Union Berlin,32.0,"FW,MF",61,0.7,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.1,0,0.0,0.08,1,0,0,2,0,4,1,0,12,4,0,14
2733,Ibrahima Wadji,sn SEN,Saint-Étienne,29.0,"FW,MF",347,3.9,0,0,0,0,0.8,0.8,0.06,-0.8,12,1,8.3,3.11,0.26,0.0,0.0,15.7,0,0.0,0,0.0,0.2,1,1,0,4,11,24,8,1,65,16,3,77
2735,Elye Wahi,fr FRA,Marseille,21.0,FW,574,6.4,3,2,1,1,6.0,5.2,0.33,-3.0,16,9,56.3,2.51,1.41,0.13,0.22,12.1,1,0.4,4,0.47,1.0,6,0,0,7,7,41,16,4,103,30,5,126
2736,Elye Wahi,fr FRA,Eint Frankfurt,21.0,"FW,MF",196,2.2,0,0,0,0,1.3,1.3,0.14,-1.3,9,2,22.2,4.13,0.92,0.0,0.0,17.8,0,0.1,0,0.0,0.62,1,3,1,5,6,19,4,0,43,14,4,52
2745,Paul Wanner,de GER,Heidenheim,18.0,"MF,FW",1771,19.7,3,2,1,1,3.7,2.9,0.12,-0.7,24,5,20.8,1.22,0.25,0.08,0.4,18.2,2,1.3,5,0.2,0.25,20,13,3,64,28,65,51,7,496,41,6,575
2751,Ollie Watkins,eng ENG,Aston Villa,28.0,FW,2598,28.9,16,14,2,2,15.3,13.8,0.17,0.7,82,36,43.9,2.84,1.25,0.17,0.39,12.1,8,3.3,24,0.76,0.65,24,13,0,31,55,165,53,12,409,168,38,552
2752,Timothy Weah,us USA,Juventus,24.0,"DF,FW",1638,18.2,5,5,0,0,3.4,3.4,0.16,1.6,21,9,42.9,1.15,0.49,0.24,0.56,20.3,2,1.6,7,0.38,0.28,19,13,6,56,45,120,36,3,565,35,18,652
2756,Nelson Weiper,de GER,Mainz 05,19.0,"FW,MF",704,7.8,3,3,0,0,4.1,4.1,0.19,-1.1,22,12,54.5,2.81,1.53,0.14,0.25,12.8,2,1.9,5,0.64,0.77,10,5,0,13,12,62,16,2,149,50,5,213
2758,Noah Weißhaupt,de GER,St. Pauli,22.0,"FW,MF",1160,12.9,1,1,0,0,2.1,2.1,0.12,-1.1,18,4,22.2,1.4,0.31,0.06,0.25,15.9,0,1.8,1,0.08,0.3,18,15,11,33,42,94,42,1,306,43,17,355
2759,Noah Weißhaupt,de GER,Freiburg,22.0,FW,80,0.9,0,0,0,0,0.0,0.0,0.04,0.0,1,0,0.0,1.13,0.0,0.0,,8.1,0,0.0,0,0.0,0.05,0,2,1,6,8,10,4,0,49,5,4,52
2760,Danny Welbeck,eng ENG,Brighton,33.0,FW,2115,23.5,10,9,1,1,9.6,8.8,0.15,0.4,59,23,39.0,2.51,0.98,0.15,0.39,15.3,4,1.4,14,0.55,0.46,23,14,0,47,21,95,53,8,448,102,8,547
2762,Timo Werner,de GER,Tottenham,28.0,"FW,MF",516,5.7,0,0,0,0,1.0,1.0,0.12,-1.0,8,3,37.5,1.4,0.52,0.0,0.0,18.2,3,2.5,3,0.52,0.61,10,15,2,30,42,89,18,3,215,33,18,227
2769,Iñaki Williams,gh GHA,Athletic Club,30.0,FW,2652,29.5,6,6,0,0,7.6,7.6,0.12,-1.6,63,24,38.1,2.14,0.81,0.1,0.25,16.4,8,7.8,14,0.48,0.52,43,51,15,76,107,302,80,14,739,138,49,898
2771,Nico Williams,es ESP,Athletic Club,22.0,FW,1996,22.2,5,5,0,0,4.2,4.2,0.08,0.8,54,19,35.2,2.43,0.86,0.09,0.26,17.6,5,3.5,10,0.45,0.35,40,29,8,69,118,254,112,13,697,113,58,767
2772,Willian,br BRA,Fulham,35.0,"FW,MF",257,2.9,0,0,0,0,0.3,0.3,0.04,-0.3,7,0,0.0,2.45,0.0,0.0,,22.1,0,0.5,0,0.0,0.28,7,10,2,40,11,33,17,0,148,7,2,183
2773,Joe Willock,eng ENG,Newcastle Utd,24.0,"MF,FW",1086,12.1,0,0,0,0,1.6,1.6,0.09,-1.6,18,3,16.7,1.49,0.25,0.0,0.0,15.1,2,2.1,2,0.17,0.31,22,8,0,41,38,86,45,4,325,55,16,372
2774,Callum Wilson,eng ENG,Newcastle Utd,32.0,FW,370,4.1,0,0,0,0,0.4,0.4,0.06,-0.4,6,1,16.7,1.46,0.24,0.0,0.0,15.4,0,0.1,0,0.0,0.12,3,0,0,4,5,17,10,0,47,19,5,60
2775,Harry Wilson,wls WAL,Fulham,27.0,"FW,MF",1162,12.9,6,6,0,0,4.2,4.2,0.1,1.8,43,17,39.5,3.33,1.32,0.14,0.35,18.0,1,1.1,7,0.54,0.41,20,15,1,51,22,96,44,3,342,63,11,390
2776,Patrick Wimmer,at AUT,Wolfsburg,23.0,"MF,FW",1770,19.7,3,3,0,0,3.7,3.7,0.09,-0.7,41,10,24.4,2.08,0.51,0.07,0.3,17.7,4,2.9,7,0.36,0.34,24,23,4,91,46,75,71,12,504,63,13,532
2777,Jonas Wind,dk DEN,Wolfsburg,25.0,"FW,MF",1966,21.8,9,8,1,2,5.7,4.0,0.1,3.3,38,11,28.9,1.74,0.5,0.21,0.73,13.4,3,4.2,12,0.5,0.45,34,24,0,100,17,94,65,6,450,88,12,637
2779,Ben Winterburn,eng ENG,Bournemouth,19.0,"MF,FW",24,0.3,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,2,2,0,0,6,1,1,6
2780,Florian Wirtz,de GER,Leverkusen,21.0,"MF,FW",2351,26.1,10,8,2,4,9.4,6.1,0.08,0.6,74,35,47.3,2.83,1.34,0.11,0.23,19.7,12,7.0,22,0.77,0.63,57,65,8,176,131,309,148,26,1217,137,53,1638
2781,Yoane Wissa,cd COD,Brentford,27.0,FW,2919,32.4,19,19,0,0,18.5,18.5,0.21,0.5,90,41,45.6,2.77,1.26,0.21,0.46,13.2,4,2.6,23,0.71,0.65,27,13,1,67,60,154,69,10,550,163,34,658
2782,Dani de Wit,nl NED,Bochum,26.0,"MF,FW",1153,12.8,2,2,0,0,2.1,2.1,0.11,-0.1,20,7,35.0,1.56,0.55,0.1,0.29,11.7,1,0.5,3,0.23,0.21,10,5,2,33,5,37,22,2,244,37,0,311
2786,Nick Woltemade,de GER,Stuttgart,22.0,"FW,MF",1622,18.0,12,10,2,3,10.2,8.0,0.17,1.8,46,23,50.0,2.55,1.28,0.22,0.43,12.3,2,4.6,14,0.67,0.82,37,23,0,52,31,141,79,10,470,159,22,623
2787,Jeong Woo-yeong,kr KOR,Union Berlin,24.0,"MF,FW",1263,14.0,3,3,0,0,2.8,2.8,0.11,0.2,25,6,24.0,1.78,0.43,0.12,0.5,18.5,2,1.7,5,0.36,0.31,18,20,5,63,32,93,49,5,386,34,6,423
2788,Chris Wood,nz NZL,Nott'ham Forest,32.0,FW,2959,32.9,20,17,3,3,13.4,11.0,0.17,6.6,65,32,49.2,1.98,0.97,0.26,0.53,13.5,3,2.6,23,0.61,0.49,22,12,1,42,14,94,44,5,376,105,5,563
2793,Lamine Yamal,es ESP,Barcelona,17.0,FW,2856,31.7,9,9,0,0,9.8,9.8,0.07,-0.8,144,46,31.9,4.54,1.45,0.06,0.2,19.4,13,13.9,22,0.69,0.75,64,95,16,160,181,433,188,29,1486,226,95,1723
2794,Daniel Yáñez,es ESP,Real Madrid,17.0,FW,2,0.0,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1
2795,Erencan Yardimci,tr TUR,Hoffenheim,22.0,"FW,MF",313,3.5,0,0,0,0,1.0,1.0,0.17,-1.0,6,1,16.7,1.73,0.29,0.0,0.0,9.3,0,0.0,0,0.0,0.3,0,1,0,4,4,12,5,2,41,12,1,67
2798,John Yeboah,ec ECU,Venezia,24.0,"FW,MF",1226,13.6,1,1,0,0,3.0,3.0,0.1,-2.0,30,10,33.3,2.2,0.73,0.03,0.1,16.6,1,1.9,2,0.15,0.36,20,12,0,42,50,88,53,3,374,55,25,409
2799,Bertuğ Yıldırım,tr TUR,Getafe,22.0,FW,1083,12.0,1,1,0,0,2.5,2.5,0.13,-1.5,19,7,36.8,1.58,0.58,0.05,0.14,11.4,0,1.2,1,0.08,0.31,9,9,3,14,8,48,21,1,133,46,2,209
2800,Kenan Yıldız,tr TUR,Juventus,19.0,"FW,MF",2402,26.7,7,7,0,0,4.3,4.3,0.07,2.7,61,22,36.1,2.29,0.82,0.11,0.32,17.5,4,5.0,11,0.41,0.35,57,52,13,121,115,223,130,10,964,103,43,1116
2806,Mattia Zaccagni,it ITA,Lazio,29.0,FW,2686,29.8,8,6,2,2,6.4,4.9,0.11,1.6,46,14,30.4,1.54,0.47,0.13,0.43,17.3,6,4.6,14,0.4,0.37,55,39,6,114,91,264,107,9,911,100,27,1084
2808,Yoram Zague,fr FRA,Paris S-G,18.0,"DF,FW",183,2.0,0,0,0,0,0.1,0.1,0.05,-0.1,1,1,100.0,0.49,0.49,0.0,0.0,10.3,0,0.1,0,0.0,0.05,2,2,1,10,5,17,3,0,148,5,1,158
2809,Wilfried Zaha,ci CIV,Lyon,31.0,FW,73,0.8,0,0,0,0,0.1,0.1,0.06,-0.1,1,1,100.0,1.23,1.23,0.0,0.0,17.2,0,0.0,0,0.0,0.07,0,0,0,1,1,9,0,0,30,4,1,39
2813,Arsen Zakharyan,ru RUS,Real Sociedad,21.0,"MF,FW",73,0.8,1,1,0,0,0.2,0.2,0.05,0.8,4,2,50.0,4.93,2.47,0.25,0.5,22.7,0,0.1,1,1.23,0.36,1,1,0,3,0,4,6,0,21,2,0,36
2814,Nicola Zalewski,pl POL,Roma,22.0,"DF,FW",533,5.9,0,0,0,0,0.3,0.3,0.06,-0.3,5,0,0.0,0.84,0.0,0.0,,21.4,0,0.8,0,0.0,0.18,10,14,7,17,31,54,20,0,193,15,6,221
2818,Nicolò Zaniolo,it ITA,Fiorentina,25.0,FW,343,3.8,0,0,0,0,0.7,0.6,0.07,-0.7,9,4,44.4,2.36,1.05,0.0,0.0,20.6,0,0.2,0,0.0,0.22,5,1,0,5,8,20,10,0,100,12,1,116
2819,Nicolò Zaniolo,it ITA,Atalanta,25.0,"FW,MF",356,4.0,2,2,0,0,0.9,0.9,0.08,1.1,11,4,36.4,2.78,1.01,0.18,0.5,15.1,2,0.5,4,1.01,0.37,7,5,0,13,7,33,15,3,118,25,5,147
2820,Alessandro Zanoli,it ITA,Genoa,23.0,"FW,DF",1711,19.0,1,1,0,0,0.4,0.4,0.04,0.6,11,3,27.3,0.58,0.16,0.09,0.33,20.8,0,1.6,1,0.05,0.11,19,21,13,27,65,90,32,1,364,43,24,442
2821,Duván Zapata,co COL,Torino,33.0,FW,587,6.5,3,3,0,0,3.4,3.4,0.16,-0.4,21,8,38.1,3.22,1.23,0.14,0.38,11.6,0,0.5,3,0.46,0.59,9,4,1,7,6,36,20,1,104,39,4,141
2824,Bryan Zaragoza,es ESP,Osasuna,23.0,"FW,MF",1836,20.4,1,1,0,0,2.7,2.7,0.06,-1.7,42,13,31.0,2.06,0.64,0.02,0.08,20.2,6,3.2,7,0.34,0.29,36,34,20,50,105,140,71,9,544,84,51,585
2825,Anass Zaroury,ma MAR,Lens,23.0,"FW,MF",1405,15.6,2,2,0,0,1.7,1.7,0.05,0.3,35,12,34.3,2.24,0.77,0.06,0.17,22.4,2,2.9,4,0.26,0.29,35,34,13,65,49,107,72,4,541,26,8,660
2831,Alessio Zerbin,it ITA,Napoli,25.0,"FW,DF",2,0.0,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2838,Edon Zhegrova,xk KVX,Lille,25.0,"FW,MF",978,10.9,4,4,0,0,2.3,2.3,0.1,1.7,23,9,39.1,2.12,0.83,0.17,0.44,22.2,1,2.2,5,0.46,0.41,16,26,3,54,37,81,38,3,360,35,18,396
2842,Joshua Zirkzee,nl NED,Manchester Utd,23.0,"FW,MF",1402,15.6,3,3,0,0,4.8,4.8,0.17,-1.8,28,11,39.3,1.8,0.71,0.11,0.27,13.1,1,1.5,4,0.26,0.41,12,6,0,44,14,69,31,3,327,56,4,418
2843,Budu Zivzivadze,ge GEO,Heidenheim,30.0,FW,958,10.6,2,2,0,0,1.7,1.7,0.08,0.3,22,9,40.9,2.07,0.85,0.09,0.22,14.3,3,1.5,5,0.47,0.3,12,8,2,20,11,43,26,4,185,37,2,219
2847,Yanis Zouaoui,dz ALG,Le Havre,30.0,"DF,FW",976,10.8,0,0,0,0,0.1,0.1,0.03,-0.1,5,2,40.0,0.46,0.18,0.0,0.0,28.6,2,2.9,2,0.18,0.28,28,14,9,32,33,33,40,3,319,8,3,364
2853,Milan Đurić,ba BIH,Monza,34.0,FW,1270,14.1,4,4,0,0,2.9,2.9,0.13,1.1,23,10,43.5,1.63,0.71,0.17,0.4,11.7,1,1.1,5,0.35,0.28,5,2,0,21,2,30,7,1,150,31,1,289
2854,Milan Đurić,ba BIH,Parma,34.0,FW,268,3.0,1,1,0,0,0.3,0.3,0.05,0.7,5,1,20.0,1.68,0.34,0.2,1.0,12.8,0,0.0,1,0.34,0.08,0,3,0,7,0,6,5,1,40,17,0,83
