Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Yann Karamoh,fr FRA,"MF,FW",WINGER/STRIKER,Torino,it Serie A,26.0,29,10,1046,11.6,1,0.9,9,28,2,23,9,12,37,38,80,2.06,0.17,0,1.2,25,6,0.0,0.0,0.086,0.078,0.776,2.414,0.172,1.983,0.776,1.034,3.276,6.897,3.19,0.0,0.103,2.155,0.517
Jesper Karlsson,se SWE,FW,WINGER/STRIKER,Lecce,it Serie A,26.0,13,6,495,5.5,0,0.6,10,12,0,28,9,6,11,9,32,3.26,0.0,1,1.5,9,4,0.0,0.0,0.0,0.109,1.818,2.182,0.0,5.091,1.636,1.091,1.636,5.818,2.0,0.182,0.273,1.636,0.727
Grigoris Kastanos,cy CYP,"MF,FW",WINGER/STRIKER,Hellas Verona,it Serie A,26.0,27,8,872,9.7,1,1.7,12,34,3,23,7,0,12,15,27,2.47,0.21,1,1.0,22,5,0.05,0.2,0.103,0.175,1.237,3.505,0.309,2.371,0.722,0.0,1.546,2.784,1.237,0.103,0.103,2.268,0.515
Moise Kean,it ITA,FW,STRIKER,Fiorentina,it Serie A,24.0,31,30,2615,29.1,3,1.9,19,26,1,8,10,44,42,101,143,1.9,0.23,17,19.4,98,45,0.16,0.36,0.103,0.065,0.653,0.893,0.034,0.275,0.344,1.512,3.471,4.914,1.443,0.584,0.667,3.368,1.546
Yassine Kechta,ma MAR,"MF,FW",WINGER/STRIKER,Le Havre,fr Ligue 1,22.0,31,25,2096,23.3,0,1.2,15,97,2,36,18,13,44,35,85,2.06,0.17,2,2.5,29,9,0.07,0.22,0.0,0.052,0.644,4.163,0.086,1.545,0.773,0.558,1.502,3.648,1.888,0.086,0.107,1.245,0.386
Bilal El Khannouss,ma MAR,"MF,FW",WINGER,Leicester City,eng Premier League,20.0,32,27,2182,24.2,3,4.6,42,128,11,89,31,34,73,60,89,3.22,0.29,2,1.3,30,7,0.07,0.29,0.124,0.19,1.736,5.289,0.455,3.678,1.281,1.405,2.479,3.678,3.017,0.083,0.054,1.24,0.289
Wahbi Khazri,tn TUN,"FW,MF",WINGER/STRIKER,Montpellier,fr Ligue 1,33.0,30,10,1118,12.4,1,2.2,18,33,3,48,8,7,24,26,53,3.27,0.17,1,2.3,36,6,0.03,0.17,0.081,0.177,1.452,2.661,0.242,3.871,0.645,0.565,2.097,4.274,1.935,0.081,0.185,2.903,0.484
Kiké,es ESP,FW,STRIKER,Alavés,es La Liga,34.0,35,29,2542,28.2,0,0.9,13,50,4,13,6,13,25,35,158,1.35,0.14,13,9.6,60,24,0.17,0.42,0.0,0.032,0.461,1.773,0.142,0.461,0.213,0.461,1.241,5.603,0.887,0.461,0.34,2.128,0.851
Joshua King,no NOR,"FW,MF",STRIKER,Toulouse,fr Ligue 1,32.0,28,21,1673,18.6,3,2.0,17,29,0,9,10,35,39,64,108,1.67,0.22,6,6.6,50,20,0.12,0.3,0.161,0.108,0.914,1.559,0.0,0.484,0.538,1.882,3.441,5.806,2.097,0.323,0.355,2.688,1.075
Tim Kleindienst,de GER,FW,STRIKER,Gladbach,de Bundesliga,28.0,31,31,2737,30.4,7,6.2,29,63,7,16,22,14,45,37,145,2.24,0.46,16,13.6,73,36,0.21,0.42,0.23,0.204,0.954,2.072,0.23,0.526,0.724,0.461,1.217,4.77,1.48,0.526,0.447,2.401,1.184
Derrick Köhn,de GER,"DF,FW",WINGER/STRIKER,Werder Bremen,de Bundesliga,25.0,27,14,1343,14.9,2,1.6,16,39,1,58,16,15,36,41,122,2.55,0.27,2,0.7,13,4,0.15,0.5,0.134,0.107,1.074,2.617,0.067,3.893,1.074,1.007,2.752,8.188,2.416,0.134,0.047,0.872,0.268
Koka,eg EGY,FW,STRIKER,Le Havre,fr Ligue 1,31.0,16,10,851,9.5,1,0.6,5,12,0,0,2,6,0,12,20,1.16,0.32,3,4.9,20,8,0.1,0.25,0.105,0.063,0.526,1.263,0.0,0.0,0.211,0.632,1.263,2.105,0.0,0.316,0.516,2.105,0.842
Randal Kolo Muani,fr FRA,FW,STRIKER,Juventus,it Serie A,25.0,16,13,1160,12.9,1,1.6,17,20,2,8,9,18,21,44,100,2.09,0.23,8,4.7,25,13,0.28,0.54,0.078,0.124,1.318,1.55,0.155,0.62,0.698,1.395,3.411,7.752,1.628,0.62,0.364,1.938,1.008
Teun Koopmeiners,nl NED,"MF,FW",WINGER/STRIKER,Juventus,it Serie A,26.0,28,23,1994,22.2,3,2.9,38,89,4,113,18,10,32,22,127,2.84,0.14,3,3.9,42,10,0.07,0.3,0.135,0.131,1.712,4.009,0.18,5.09,0.811,0.45,0.991,5.721,1.441,0.135,0.176,1.892,0.45
Christian Kouamé,ci CIV,"FW,MF",WINGER/STRIKER,Fiorentina,it Serie A,26.0,18,5,622,6.9,1,1.5,9,16,0,6,4,7,7,20,46,3.19,0.0,0,1.1,11,1,0.0,0.0,0.145,0.217,1.304,2.319,0.0,0.87,0.58,1.014,2.899,6.667,1.014,0.0,0.159,1.594,0.145
Christian Kouamé,ci CIV,"FW,MF",STRIKER,Empoli,it Serie A,26.0,8,5,507,5.6,0,0.7,8,13,1,2,8,5,5,13,39,4.08,0.0,1,2.7,16,5,0.06,0.2,0.0,0.125,1.429,2.321,0.179,0.357,1.429,0.893,2.321,6.964,0.893,0.179,0.482,2.857,0.893
Goduine Koyalipou,cf CTA,FW,STRIKER,Lens,fr Ligue 1,24.0,15,12,885,9.8,0,0.8,10,20,0,2,6,12,15,25,68,2.64,0.1,4,4.8,42,14,0.1,0.29,0.0,0.082,1.02,2.041,0.0,0.204,0.612,1.224,2.551,6.939,1.531,0.408,0.49,4.286,1.429
Andrej Kramarić,hr CRO,"MF,FW",STRIKER,Hoffenheim,de Bundesliga,33.0,32,32,2767,30.7,8,4.3,49,143,5,116,38,20,75,47,202,3.32,0.46,11,11.8,66,23,0.12,0.35,0.261,0.14,1.596,4.658,0.163,3.779,1.238,0.651,1.531,6.58,2.443,0.358,0.384,2.15,0.749
Nikola Krstović,me MNE,FW,STRIKER,Lecce,it Serie A,24.0,37,37,3057,34.0,5,2.9,30,56,4,8,15,17,42,65,149,2.56,0.21,11,12.1,134,38,0.07,0.24,0.147,0.085,0.882,1.647,0.118,0.235,0.441,0.5,1.912,4.382,1.235,0.324,0.356,3.941,1.118
Takefusa Kubo,jp JPN,"MF,FW",WINGER,Real Sociedad,es La Liga,23.0,36,27,2372,26.4,0,4.5,45,110,7,85,45,75,133,157,218,4.33,0.3,5,3.6,43,14,0.12,0.36,0.0,0.17,1.705,4.167,0.265,3.22,1.705,2.841,5.947,8.258,5.038,0.189,0.136,1.629,0.53
Mohammed Kudus,gh GHA,"FW,MF",WINGER,West Ham,eng Premier League,23.0,32,31,2590,28.8,3,3.1,31,79,2,81,29,92,98,208,216,3.72,0.35,5,6.9,75,21,0.07,0.24,0.104,0.108,1.076,2.743,0.069,2.812,1.007,3.194,7.222,7.5,3.403,0.174,0.24,2.604,0.729
Dejan Kulusevski,se SWE,"MF,FW",WINGER,Tottenham,eng Premier League,24.0,32,27,2389,26.5,4,6.2,65,124,11,89,52,38,120,117,210,4.82,0.34,7,4.2,47,17,0.15,0.41,0.151,0.234,2.453,4.679,0.415,3.358,1.962,1.434,4.415,7.925,4.528,0.264,0.158,1.774,0.642
Khvicha Kvaratskhelia,ge GEO,"FW,MF",WINGER,Napoli,it Serie A,23.0,17,15,1178,13.1,3,3.7,28,57,7,51,23,19,74,72,89,4.35,0.46,5,4.1,49,16,0.08,0.25,0.229,0.282,2.137,4.351,0.534,3.893,1.756,1.45,5.496,6.794,5.649,0.382,0.313,3.74,1.221
Khvicha Kvaratskhelia,ge GEO,FW,WINGER,Paris S-G,fr Ligue 1,23.0,14,11,916,10.2,3,4.9,25,43,5,33,20,25,50,53,131,5.89,0.79,4,3.3,34,15,0.12,0.27,0.294,0.48,2.451,4.216,0.49,3.235,1.961,2.451,5.196,12.843,4.902,0.392,0.324,3.333,1.471
Rémy Labeau Lascary,gp GLP,"FW,MF",WINGER,Lens,fr Ligue 1,21.0,14,6,637,7.1,1,1.1,7,7,1,19,9,12,17,26,71,2.83,0.71,2,2.5,14,5,0.14,0.4,0.141,0.155,0.986,0.986,0.141,2.676,1.268,1.69,3.662,10.0,2.394,0.282,0.352,1.972,0.704
Gaëtan Laborde,fr FRA,FW,STRIKER,Nice,fr Ligue 1,30.0,28,20,1829,20.3,4,3.5,27,40,3,27,12,18,30,37,131,3.1,0.34,11,11.7,70,20,0.1,0.35,0.197,0.172,1.33,1.97,0.148,1.33,0.591,0.887,1.823,6.453,1.478,0.542,0.576,3.448,0.985
Alexandre Lacazette,fr FRA,FW,STRIKER,Lyon,fr Ligue 1,33.0,30,24,2051,22.8,2,3.4,26,66,4,17,25,14,24,31,159,2.46,0.22,15,16.3,53,31,0.19,0.32,0.088,0.149,1.14,2.895,0.175,0.746,1.096,0.614,1.36,6.974,1.053,0.658,0.715,2.325,1.36
Cyle Larin,ca CAN,FW,STRIKER,Mallorca,es La Liga,29.0,32,21,1764,19.6,2,1.4,8,20,0,6,3,8,20,30,95,1.07,0.15,7,6.9,38,14,0.16,0.43,0.102,0.071,0.408,1.02,0.0,0.306,0.153,0.408,1.531,4.847,1.02,0.357,0.352,1.939,0.714
Juanmi Latasa,es ESP,FW,STRIKER,Valladolid,es La Liga,23.0,28,14,1398,15.5,0,0.9,13,17,1,5,5,8,3,15,40,1.93,0.0,3,4.2,40,13,0.08,0.23,0.0,0.058,0.839,1.097,0.065,0.323,0.323,0.516,0.968,2.581,0.194,0.194,0.271,2.581,0.839
Valentino Lazaro,at AUT,"DF,FW",WINGER/STRIKER,Torino,it Serie A,28.0,33,26,2307,25.6,6,3.3,33,76,0,145,23,14,35,37,131,2.03,0.31,0,1.0,16,2,0.0,0.0,0.234,0.129,1.289,2.969,0.0,5.664,0.898,0.547,1.445,5.117,1.367,0.0,0.039,0.625,0.078
Rafael Leão,pt POR,FW,WINGER,Milan,it Serie A,25.0,34,25,2323,25.8,8,8.4,58,93,10,55,51,59,123,129,262,4.38,0.62,8,7.6,66,29,0.12,0.28,0.31,0.326,2.248,3.605,0.388,2.132,1.977,2.287,5.0,10.155,4.767,0.31,0.295,2.558,1.124
Félix Lemaréchal,fr FRA,"MF,FW",WINGER/STRIKER,Strasbourg,fr Ligue 1,20.0,27,20,1779,19.8,3,2.9,29,58,7,26,10,24,35,48,90,2.83,0.3,4,3.5,25,9,0.16,0.44,0.152,0.146,1.465,2.929,0.354,1.313,0.505,1.212,2.424,4.545,1.768,0.202,0.177,1.263,0.455
Esteban Lepaul,fr FRA,FW,STRIKER,Angers,fr Ligue 1,24.0,28,18,1629,18.1,0,0.8,7,20,1,15,7,6,26,21,68,1.22,0.06,9,5.1,41,17,0.22,0.53,0.0,0.044,0.387,1.105,0.055,0.829,0.387,0.331,1.16,3.757,1.436,0.497,0.282,2.265,0.939
Robert Lewandowski,pl POL,FW,STRIKER,Barcelona,es La Liga,35.0,34,32,2667,29.6,2,2.3,19,48,3,5,9,20,27,35,164,1.69,0.1,27,27.1,111,45,0.22,0.53,0.068,0.078,0.642,1.622,0.101,0.169,0.304,0.676,1.182,5.541,0.912,0.912,0.916,3.75,1.52
Jamie Leweling,de GER,"MF,FW",WINGER,Stuttgart,de Bundesliga,23.0,27,22,1663,18.5,2,3.8,25,51,2,58,26,41,55,82,164,2.82,0.49,2,1.6,29,16,0.07,0.13,0.108,0.205,1.351,2.757,0.108,3.135,1.405,2.216,4.432,8.865,2.973,0.108,0.086,1.568,0.865
Keane Lewis-Potter,eng ENG,"DF,FW",WINGER/STRIKER,Brentford,eng Premier League,23.0,38,36,3093,34.4,3,3.2,26,98,5,78,47,41,98,101,156,2.07,0.23,1,3.1,28,14,0.04,0.07,0.087,0.093,0.756,2.849,0.145,2.267,1.366,1.192,2.936,4.535,2.849,0.029,0.09,0.814,0.407
Jesper Lindstrøm,dk DEN,FW,WINGER/STRIKER,Everton,eng Premier League,24.0,25,15,1239,13.8,1,2.0,19,25,1,71,12,8,30,43,81,3.35,0.07,0,2.1,28,10,0.0,0.0,0.072,0.145,1.377,1.812,0.072,5.145,0.87,0.58,3.116,5.87,2.174,0.0,0.152,2.029,0.725
Dailon Livramento,cv CPV,"FW,MF",WINGER/STRIKER,Hellas Verona,it Serie A,23.0,29,8,940,10.4,1,0.9,8,13,0,18,3,6,23,25,67,1.82,0.38,1,1.8,13,4,0.08,0.25,0.096,0.087,0.769,1.25,0.0,1.731,0.288,0.577,2.404,6.442,2.212,0.096,0.173,1.25,0.385
Giovani Lo Celso,ar ARG,"MF,FW",WINGER,Betis,es La Liga,28.0,25,15,1457,16.2,3,4.9,43,132,15,95,41,21,26,55,66,5.74,0.56,8,4.8,31,16,0.19,0.38,0.185,0.302,2.654,8.148,0.926,5.864,2.531,1.296,3.395,4.074,1.605,0.494,0.296,1.914,0.988
Ademola Lookman,ng NGA,"MF,FW",WINGER,Atalanta,it Serie A,26.0,31,28,2247,25.0,5,7.1,61,73,3,124,43,37,142,104,316,5.41,0.6,15,10.3,81,32,0.17,0.44,0.2,0.284,2.44,2.92,0.12,4.96,1.72,1.48,4.16,12.64,5.68,0.6,0.412,3.24,1.28
Diego López,es ESP,"MF,FW",STRIKER,Valencia,es La Liga,22.0,38,35,2737,30.4,5,5.0,38,85,5,67,34,23,76,77,219,2.27,0.3,8,6.6,44,14,0.18,0.57,0.164,0.164,1.25,2.796,0.164,2.204,1.118,0.757,2.533,7.204,2.5,0.263,0.217,1.447,0.461
Fer López,,"FW,MF",WINGER,Celta Vigo,es La Liga,,17,7,671,7.5,0,1.9,14,43,7,2,12,18,27,34,58,4.02,0.4,2,2.7,20,5,0.1,0.4,0.0,0.253,1.867,5.733,0.933,0.267,1.6,2.4,4.533,7.733,3.6,0.267,0.36,2.667,0.667
Fermin López,es ESP,"MF,FW",WINGER,Barcelona,es La Liga,21.0,28,12,1252,13.9,5,3.9,29,79,8,47,20,25,31,55,108,4.1,0.5,6,5.6,41,15,0.15,0.4,0.36,0.281,2.086,5.683,0.576,3.381,1.439,1.799,3.957,7.77,2.23,0.432,0.403,2.95,1.079
Lorenzo Lucca,it ITA,FW,STRIKER,Udinese,it Serie A,23.0,33,27,2353,26.1,1,1.6,14,18,1,5,1,12,15,25,98,1.26,0.15,12,7.6,64,25,0.17,0.44,0.038,0.061,0.536,0.69,0.038,0.192,0.038,0.46,0.958,3.755,0.575,0.46,0.291,2.452,0.958
Romelu Lukaku,be BEL,FW,STRIKER,Napoli,it Serie A,31.0,36,35,2843,31.6,10,4.0,35,36,6,4,11,6,31,26,219,2.4,0.51,14,13.0,60,20,0.18,0.55,0.316,0.127,1.108,1.139,0.19,0.127,0.348,0.19,0.823,6.93,0.981,0.443,0.411,1.899,0.633
Dodi Lukebakio,be BEL,FW,WINGER,Sevilla,es La Liga,26.0,38,36,3092,34.4,2,4.5,54,93,7,124,24,84,131,167,247,3.46,0.26,11,10.1,93,38,0.11,0.26,0.058,0.131,1.57,2.703,0.203,3.605,0.698,2.442,4.855,7.18,3.808,0.32,0.294,2.703,1.105
Zito Luvumbo,ao ANG,"FW,MF",WINGER,Cagliari,it Serie A,22.0,26,19,1606,17.8,2,3.1,17,31,0,65,13,25,70,63,125,1.96,0.22,2,2.1,23,4,0.09,0.5,0.112,0.174,0.955,1.742,0.0,3.652,0.73,1.404,3.539,7.022,3.933,0.112,0.118,1.292,0.225
Shuto Machino,jp JPN,"FW,MF",STRIKER,Holstein Kiel,de Bundesliga,24.0,32,23,1953,21.7,2,3.0,27,59,3,35,20,10,30,18,108,3.41,0.41,11,6.5,49,21,0.18,0.43,0.092,0.138,1.244,2.719,0.138,1.613,0.922,0.461,0.829,4.977,1.382,0.507,0.3,2.258,0.968
Darwin Machís,ve VEN,"MF,FW",WINGER,Valladolid,es La Liga,31.0,18,7,639,7.1,1,0.5,8,19,1,68,5,5,17,20,43,2.11,0.14,0,0.9,14,2,0.0,0.0,0.141,0.07,1.127,2.676,0.141,9.577,0.704,0.704,2.817,6.056,2.394,0.0,0.127,1.972,0.282
Noni Madueke,eng ENG,FW,WINGER,Chelsea,eng Premier League,22.0,32,27,2033,22.6,3,4.2,32,69,1,63,35,45,154,102,226,3.5,0.35,7,9.6,80,30,0.09,0.23,0.133,0.186,1.416,3.053,0.044,2.788,1.549,1.991,4.513,10.0,6.814,0.31,0.425,3.54,1.327
Frank Magri,cm CMR,"FW,MF",STRIKER,Toulouse,fr Ligue 1,24.0,31,17,1516,16.8,1,1.5,9,25,3,4,7,4,17,18,80,1.72,0.18,5,6.0,44,18,0.11,0.28,0.06,0.089,0.536,1.488,0.179,0.238,0.417,0.238,1.071,4.762,1.012,0.298,0.357,2.619,1.071
Daniel Maldini,it ITA,"MF,FW",WINGER,Monza,it Serie A,22.0,20,16,1306,14.5,0,0.9,12,34,1,38,8,30,41,72,66,2.75,0.34,3,4.8,39,13,0.08,0.23,0.0,0.062,0.828,2.345,0.069,2.621,0.552,2.069,4.966,4.552,2.828,0.207,0.331,2.69,0.897
Donyell Malen,nl NED,"FW,MF",STRIKER,Dortmund,de Bundesliga,25.0,14,6,614,6.8,0,0.2,1,17,1,13,6,11,23,32,75,1.76,0.44,3,2.9,19,6,0.16,0.5,0.0,0.029,0.147,2.5,0.147,1.912,0.882,1.618,4.706,11.029,3.382,0.441,0.426,2.794,0.882
Dennis Man,ro ROU,"FW,MF",WINGER,Parma,it Serie A,25.0,33,23,1995,22.2,4,4.2,45,60,4,33,25,25,67,75,142,3.61,0.32,4,5.5,49,20,0.08,0.2,0.18,0.189,2.027,2.703,0.18,1.486,1.126,1.126,3.378,6.396,3.018,0.18,0.248,2.207,0.901
Sekou Mara,fr FRA,"FW,MF",WINGER/STRIKER,Strasbourg,fr Ligue 1,22.0,25,7,768,8.5,1,1.0,5,11,2,3,2,11,9,27,47,1.17,0.23,1,2.0,19,5,0.05,0.2,0.118,0.118,0.588,1.294,0.235,0.353,0.235,1.294,3.176,5.529,1.059,0.118,0.235,2.235,0.588
Omar Marmoush,eg EGY,"FW,MF",STRIKER,Manchester City,eng Premier League,25.0,16,14,1175,13.1,0,2.8,15,37,2,28,29,20,29,46,78,2.99,0.15,7,5.5,49,17,0.14,0.41,0.0,0.214,1.145,2.824,0.153,2.137,2.214,1.527,3.511,5.954,2.214,0.534,0.42,3.74,1.298
Omar Marmoush,eg EGY,FW,WINGER,Eint Frankfurt,de Bundesliga,25.0,17,17,1448,16.1,9,6.2,34,50,5,78,22,46,73,101,125,5.66,1.31,15,8.8,75,34,0.17,0.38,0.559,0.385,2.112,3.106,0.311,4.845,1.366,2.857,6.273,7.764,4.534,0.932,0.547,4.658,2.112
Carlos Martín,es ESP,"FW,MF",WINGER/STRIKER,Alavés,es La Liga,22.0,26,16,1333,14.8,2,2.7,13,21,4,24,7,9,13,36,67,1.96,0.2,2,2.3,26,12,0.08,0.17,0.135,0.182,0.878,1.419,0.27,1.622,0.473,0.608,2.432,4.527,0.878,0.135,0.155,1.757,0.811
Gabriel Martinelli,br BRA,"FW,MF",WINGER,Arsenal,eng Premier League,23.0,33,25,2290,25.4,4,5.0,40,52,5,92,37,33,124,109,289,2.91,0.27,8,7.4,55,24,0.15,0.33,0.157,0.197,1.575,2.047,0.197,3.622,1.457,1.299,4.291,11.378,4.882,0.315,0.291,2.165,0.945
Lautaro Martínez,ar ARG,FW,STRIKER,Inter,it Serie A,26.0,30,30,2474,27.5,3,4.3,36,68,9,11,22,17,34,47,197,2.7,0.28,12,13.5,99,33,0.12,0.36,0.109,0.156,1.309,2.473,0.327,0.4,0.8,0.618,1.709,7.164,1.236,0.436,0.491,3.6,1.2
Toni Martínez,es ESP,FW,STRIKER,Alavés,es La Liga,27.0,28,9,1012,11.2,0,0.6,11,11,2,7,4,9,13,15,57,2.4,0.09,4,3.6,46,15,0.09,0.27,0.0,0.054,0.982,0.982,0.179,0.625,0.357,0.804,1.339,5.089,1.161,0.357,0.321,4.107,1.339
Marvin,es ESP,"DF,FW",WINGER/STRIKER,Las Palmas,es La Liga,24.0,23,9,1038,11.5,0,1.1,6,30,0,52,14,2,29,18,72,1.21,0.17,0,0.2,5,0,0.0,0.0,0.0,0.096,0.522,2.609,0.0,4.522,1.217,0.174,1.565,6.261,2.522,0.0,0.017,0.435,0.0
Giorgos Masouras,gr GRE,"FW,MF",STRIKER,Bochum,de Bundesliga,30.0,14,12,1055,11.7,1,1.1,10,19,0,26,7,5,26,14,82,2.47,0.43,2,3.9,30,15,0.07,0.13,0.085,0.094,0.855,1.624,0.0,2.222,0.598,0.427,1.197,7.009,2.222,0.171,0.333,2.564,1.282
Jaime Mata,es ESP,"FW,MF",WINGER/STRIKER,Las Palmas,es La Liga,35.0,30,4,656,7.3,0,0.1,3,10,0,9,3,5,6,9,48,2.19,0.14,0,2.6,17,6,0.0,0.0,0.0,0.014,0.411,1.37,0.0,1.233,0.411,0.685,1.233,6.575,0.822,0.0,0.356,2.329,0.822
Jean-Philippe Mateta,fr FRA,FW,STRIKER,Crystal Palace,eng Premier League,27.0,37,33,2648,29.4,2,3.2,29,52,7,26,16,20,45,46,122,2.21,0.34,14,13.5,68,29,0.18,0.41,0.068,0.109,0.986,1.769,0.238,0.884,0.544,0.68,1.565,4.15,1.531,0.476,0.459,2.313,0.986
Jean Mattéo Bahoya,fr FRA,"MF,FW",WINGER,Eint Frankfurt,de Bundesliga,19.0,24,10,921,10.2,3,1.7,18,28,1,31,11,17,24,30,93,4.01,0.59,2,1.9,10,3,0.2,0.67,0.294,0.167,1.765,2.745,0.098,3.039,1.078,1.667,2.941,9.118,2.353,0.196,0.186,0.98,0.294
Neal Maupay,fr FRA,FW,STRIKER,Marseille,fr Ligue 1,27.0,22,13,1042,11.6,4,2.2,13,37,1,1,12,6,12,14,81,1.9,0.43,4,4.1,19,10,0.21,0.4,0.345,0.19,1.121,3.19,0.086,0.086,1.034,0.517,1.207,6.983,1.034,0.345,0.353,1.638,0.862
Stephy Mavididi,eng ENG,FW,WINGER,Leicester City,eng Premier League,26.0,30,16,1615,17.9,1,2.6,22,57,6,69,26,35,91,95,138,2.78,0.39,4,1.8,26,7,0.15,0.57,0.056,0.145,1.229,3.184,0.335,3.855,1.453,1.955,5.307,7.709,5.084,0.223,0.101,1.453,0.391
Borja Mayoral,es ESP,FW,STRIKER,Getafe,es La Liga,27.0,24,7,1114,12.4,1,0.9,8,13,0,9,2,6,10,20,43,1.54,0.16,5,3.4,19,8,0.21,0.5,0.081,0.073,0.645,1.048,0.0,0.726,0.161,0.484,1.613,3.468,0.806,0.403,0.274,1.532,0.645
Pasquale Mazzocchi,it ITA,"DF,FW",WINGER/STRIKER,Napoli,it Serie A,29.0,20,7,702,7.8,0,0.4,5,23,2,13,8,10,20,17,43,2.3,0.0,0,0.3,3,1,0.0,0.0,0.0,0.051,0.641,2.949,0.256,1.667,1.026,1.282,2.179,5.513,2.564,0.0,0.038,0.385,0.128
Samuel Mbangula,be BEL,FW,WINGER,Juventus,it Serie A,20.0,23,7,709,7.9,3,1.4,15,17,0,17,10,9,25,27,44,2.92,0.63,3,0.6,9,5,0.33,0.6,0.38,0.177,1.899,2.152,0.0,2.152,1.266,1.139,3.418,5.57,3.165,0.38,0.076,1.139,0.633
Kylian Mbappé,fr FRA,FW,STRIKER,Real Madrid,es La Liga,25.0,34,34,2907,32.3,3,7.7,51,140,6,35,52,83,150,187,386,4.12,0.46,31,25.9,152,75,0.16,0.32,0.093,0.238,1.579,4.334,0.186,1.084,1.61,2.57,5.789,11.95,4.644,0.96,0.802,4.706,2.322
Bryan Mbeumo,cm CMR,FW,WINGER,Brentford,eng Premier League,24.0,38,38,3414,37.9,7,8.3,70,141,13,202,59,52,130,111,351,3.8,0.53,20,12.3,79,34,0.19,0.44,0.185,0.219,1.847,3.72,0.343,5.33,1.557,1.372,2.929,9.261,3.43,0.528,0.325,2.084,0.897
Kasey McAteer,ie IRL,FW,WINGER/STRIKER,Leicester City,eng Premier League,22.0,18,9,852,9.5,1,0.7,9,14,0,21,6,6,19,25,71,2.11,0.21,1,1.0,13,7,0.08,0.14,0.105,0.074,0.947,1.474,0.0,2.211,0.632,0.632,2.632,7.474,2.0,0.105,0.105,1.368,0.737
Oliver McBurnie,sct SCO,FW,WINGER/STRIKER,Las Palmas,es La Liga,28.0,34,20,1837,20.4,6,2.8,24,27,0,2,7,16,7,34,75,2.06,0.29,3,4.8,32,12,0.09,0.25,0.294,0.137,1.176,1.324,0.0,0.098,0.343,0.784,1.667,3.676,0.343,0.147,0.235,1.569,0.588
John McGinn,sct SCO,"MF,FW",WINGER/STRIKER,Aston Villa,eng Premier League,29.0,34,27,2223,24.7,4,3.5,31,103,9,60,29,20,32,47,87,3.08,0.32,1,3.1,31,5,0.03,0.2,0.162,0.142,1.255,4.17,0.364,2.429,1.174,0.81,1.903,3.522,1.296,0.04,0.126,1.255,0.202
Dwight McNeil,eng ENG,"MF,FW",WINGER,Everton,eng Premier League,24.0,21,15,1371,15.2,6,5.2,37,69,8,105,36,24,38,45,80,4.73,0.66,4,1.1,25,10,0.16,0.4,0.395,0.342,2.434,4.539,0.526,6.908,2.368,1.579,2.961,5.263,2.5,0.263,0.072,1.645,0.658
Mohamed Meité,fr FRA,FW,STRIKER,Rennes,fr Ligue 1,16.0,12,5,544,6.0,0,0.6,5,6,1,2,3,1,8,11,37,2.17,0.17,2,2.5,15,5,0.13,0.4,0.0,0.1,0.833,1.0,0.167,0.333,0.5,0.167,1.833,6.167,1.333,0.333,0.417,2.5,0.833
Farid El Melali,dz ALG,FW,WINGER,Angers,fr Ligue 1,27.0,32,22,1893,21.0,3,3.1,25,43,0,87,14,52,62,119,113,3.18,0.52,2,3.6,46,14,0.04,0.14,0.143,0.148,1.19,2.048,0.0,4.143,0.667,2.476,5.667,5.381,2.952,0.095,0.171,2.19,0.667
Mikel Merino,es ESP,"MF,FW",STRIKER,Arsenal,eng Premier League,28.0,28,17,1586,17.6,2,2.0,17,69,5,13,24,9,11,23,94,2.44,0.23,7,5.9,38,13,0.18,0.54,0.114,0.114,0.966,3.92,0.284,0.739,1.364,0.511,1.307,5.341,0.625,0.398,0.335,2.159,0.739
Junior Messias,br BRA,"MF,FW",WINGER,Genoa,it Serie A,33.0,17,8,847,9.4,1,0.7,8,32,2,22,8,10,32,44,49,2.44,0.32,1,2.4,17,5,0.06,0.2,0.106,0.074,0.851,3.404,0.213,2.34,0.851,1.064,4.681,5.213,3.404,0.106,0.255,1.809,0.532
Miguel,es ESP,FW,WINGER/STRIKER,Leganés,es La Liga,24.0,34,17,1724,19.2,3,1.4,7,16,4,9,5,8,14,36,90,1.46,0.31,1,4.9,33,14,0.0,0.0,0.156,0.073,0.365,0.833,0.208,0.469,0.26,0.417,1.875,4.688,0.729,0.052,0.255,1.719,0.729
Valentin Mihaila,ro ROU,"FW,MF",WINGER/STRIKER,Parma,it Serie A,24.0,21,16,1288,14.3,3,1.2,17,41,3,33,17,10,25,27,72,3.36,0.35,0,2.4,31,11,0.0,0.0,0.21,0.084,1.189,2.867,0.21,2.308,1.189,0.699,1.888,5.035,1.748,0.0,0.168,2.168,0.769
