Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Arda Güler,tr TUR,"MF,FW",WINGER,Real Madrid,es La Liga,19.0,28,14,1250,13.9,4,4.5,40,93,10,57,31,20,34,45,86,5.69,0.79,3,3.3,39,16,0.08,0.19,0.288,0.324,2.878,6.691,0.719,4.101,2.23,1.439,3.237,6.187,2.446,0.216,0.237,2.806,1.151
Jon Guridi,es ESP,"MF,FW",WINGER/STRIKER,Alavés,es La Liga,29.0,33,27,2080,23.1,1,1.2,17,79,2,17,11,8,27,26,90,2.08,0.35,3,4.2,23,11,0.09,0.18,0.043,0.052,0.736,3.42,0.087,0.736,0.476,0.346,1.126,3.896,1.169,0.13,0.182,0.996,0.476
Gorka Guruzeta,es ESP,FW,STRIKER,Athletic Club,es La Liga,27.0,36,21,1840,20.4,2,1.5,15,31,1,5,2,11,8,20,64,1.42,0.05,7,6.7,59,19,0.12,0.37,0.098,0.074,0.735,1.52,0.049,0.245,0.098,0.539,0.98,3.137,0.392,0.343,0.328,2.892,0.931
Albert Guðmundsson,is ISL,"FW,MF",STRIKER,Fiorentina,it Serie A,27.0,24,16,1273,14.1,1,1.8,15,37,1,24,2,15,35,27,59,2.76,0.35,6,4.5,25,13,0.16,0.31,0.071,0.128,1.064,2.624,0.071,1.702,0.142,1.064,1.915,4.184,2.482,0.426,0.319,1.773,0.922
Emmanuel Gyasi,gh GHA,"DF,FW",WINGER/STRIKER,Empoli,it Serie A,30.0,37,37,3217,35.7,1,0.7,17,53,2,37,20,20,22,35,108,1.12,0.14,2,3.9,22,8,0.09,0.25,0.028,0.02,0.476,1.485,0.056,1.036,0.56,0.56,0.98,3.025,0.616,0.056,0.109,0.616,0.224
Christian Gytkjær,dk DEN,FW,STRIKER,Venezia,it Serie A,34.0,29,6,754,8.4,1,0.5,7,5,0,1,3,1,3,5,52,1.67,0.24,2,2.4,16,5,0.06,0.2,0.119,0.06,0.833,0.595,0.0,0.119,0.357,0.119,0.595,6.19,0.357,0.238,0.286,1.905,0.595
Erling Haaland,no NOR,FW,STRIKER,Manchester City,eng Premier League,24.0,31,31,2736,30.4,3,3.0,29,20,1,3,8,13,24,36,124,2.34,0.3,22,22.0,104,55,0.18,0.35,0.099,0.099,0.954,0.658,0.033,0.099,0.263,0.428,1.184,4.079,0.789,0.724,0.724,3.421,1.809
Robin Hack,de GER,"FW,MF",WINGER,Gladbach,de Bundesliga,25.0,33,27,2172,24.1,7,3.6,32,95,12,61,34,25,51,63,141,3.11,0.46,4,5.4,59,24,0.07,0.17,0.29,0.149,1.328,3.942,0.498,2.531,1.411,1.037,2.614,5.851,2.116,0.166,0.224,2.448,0.996
Munir El Haddadi,ma MAR,"FW,MF",STRIKER,Leganés,es La Liga,28.0,25,10,862,9.6,0,0.8,8,29,1,13,6,7,11,21,42,2.2,0.21,4,1.6,21,9,0.19,0.44,0.0,0.083,0.833,3.021,0.104,1.354,0.625,0.729,2.188,4.375,1.146,0.417,0.167,2.188,0.938
Antoine Hainaut,fr FRA,"DF,FW",WINGER/STRIKER,Parma,it Serie A,22.0,25,10,1206,13.4,0,1.0,9,34,0,26,15,13,22,27,37,1.42,0.15,2,0.8,6,3,0.33,0.67,0.0,0.075,0.672,2.537,0.0,1.94,1.119,0.97,2.015,2.761,1.642,0.149,0.06,0.448,0.224
Phil Harres,de GER,FW,STRIKER,Holstein Kiel,de Bundesliga,22.0,26,17,1544,17.2,1,1.3,10,16,0,6,4,5,12,24,71,1.28,0.29,8,5.9,37,17,0.22,0.47,0.058,0.076,0.581,0.93,0.0,0.349,0.233,0.291,1.395,4.128,0.698,0.465,0.343,2.151,0.988
Jack Harrison,eng ENG,FW,WINGER,Everton,eng Premier League,27.0,34,24,2076,23.1,0,3.7,33,51,4,131,25,24,73,75,127,2.47,0.17,1,3.5,29,7,0.03,0.14,0.0,0.16,1.429,2.208,0.173,5.671,1.082,1.039,3.247,5.498,3.16,0.043,0.152,1.255,0.303
Abdou Harroui,nl NED,"MF,FW",WINGER,Hellas Verona,it Serie A,26.0,10,5,463,5.1,2,0.4,4,21,1,9,3,6,23,20,34,2.92,0.58,1,2.2,15,4,0.07,0.25,0.392,0.078,0.784,4.118,0.196,1.765,0.588,1.176,3.922,6.667,4.51,0.196,0.431,2.941,0.784
