Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,Cmp,Att,Cmp%,TB,Crs,CK,1/3,PPA,Touches,PrgC,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,Cmp_p90,Att_p90,TB_p90,Crs_p90,CK_p90,1/3_p90,PPA_p90,Touches_p90,PrgC_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90,Cluster
Josué Casimir,fr FRA,"FW,MF",CM,Le Havre,fr Ligue 1,22.0,27,23,1997,22.2,4,3.4,26,41,410,597,68.7,2,85,5,22,13,814,71,22,48,151,2.7,0.36,4,3.3,27,9,0.15,0.44,37,26,7,19,35,1,0.18,0.153,1.171,1.847,18.468,26.892,0.09,3.829,0.225,0.991,0.586,36.667,3.198,0.991,2.162,6.802,0.18,0.149,1.216,0.405,1.667,1.171,0.315,0.856,1.577,0.045,1
Cristian Cásseres Jr.,ve VEN,MF,CDM,Toulouse,fr Ligue 1,24.0,32,31,2696,30.0,3,2.6,27,128,1120,1421,78.8,5,80,46,89,23,1727,31,22,38,46,2.57,0.17,1,1.0,17,5,0.06,0.2,96,61,42,35,36,1,0.1,0.087,0.9,4.267,37.333,47.367,0.167,2.667,1.533,2.967,0.767,57.567,1.033,0.733,1.267,1.533,0.033,0.033,0.567,0.167,3.2,2.033,1.4,1.167,1.2,0.033,0
Jean-Charles Castelletto,cm CMR,"DF,MF",CDM,Nantes,fr Ligue 1,29.0,30,30,2620,29.1,0,0.1,2,87,1233,1391,88.6,0,9,0,80,5,1682,21,3,3,19,0.69,0.07,0,1.8,17,5,0.0,0.0,34,17,25,27,151,0,0.0,0.003,0.069,2.99,42.371,47.801,0.0,0.309,0.0,2.749,0.172,57.801,0.722,0.103,0.103,0.653,0.0,0.062,0.584,0.172,1.168,0.584,0.859,0.928,5.189,0.0,0
Gaetano Castrovilli,it ITA,MF,CDM,Monza,it Serie A,27.0,12,7,596,6.6,0,0.4,7,24,188,238,79.0,1,14,6,12,5,305,10,5,11,28,2.27,0.3,0,0.3,6,0,0.0,0.0,12,7,2,8,9,0,0.0,0.061,1.061,3.636,28.485,36.061,0.152,2.121,0.909,1.818,0.758,46.212,1.515,0.758,1.667,4.242,0.0,0.045,0.909,0.0,1.818,1.061,0.303,1.212,1.364,0.0,0
Danilo Cataldi,it ITA,MF,CDM,Fiorentina,it Serie A,29.0,24,22,1712,19.0,0,0.8,15,90,845,1000,84.5,2,21,9,83,10,1147,18,3,10,16,1.68,0.05,3,1.1,13,5,0.23,0.6,25,16,22,17,35,0,0.0,0.042,0.789,4.737,44.474,52.632,0.105,1.105,0.474,4.368,0.526,60.368,0.947,0.158,0.526,0.842,0.158,0.058,0.684,0.263,1.316,0.842,1.158,0.895,1.842,0.0,0
Dani Ceballos,es ESP,MF,CDM,Real Madrid,es La Liga,27.0,23,15,1215,13.5,0,1.6,22,150,1284,1361,94.3,4,14,7,156,10,1473,42,8,15,17,4.22,0.37,0,0.4,7,2,0.0,0.0,41,21,14,16,10,2,0.0,0.119,1.63,11.111,95.111,100.815,0.296,1.037,0.519,11.556,0.741,109.111,3.111,0.593,1.111,1.259,0.0,0.03,0.519,0.148,3.037,1.556,1.037,1.185,0.741,0.148,0
Fares Chaïbi,dz ALG,"MF,FW",CAM,Eint Frankfurt,de Bundesliga,21.0,26,10,1013,11.3,3,2.9,24,52,304,462,65.8,4,72,38,31,18,588,20,7,12,73,4.43,0.62,1,2.6,25,6,0.04,0.17,13,9,10,10,32,1,0.265,0.257,2.124,4.602,26.903,40.885,0.354,6.372,3.363,2.743,1.593,52.035,1.77,0.619,1.062,6.46,0.088,0.23,2.212,0.531,1.15,0.796,0.885,0.885,2.832,0.088,2
Conor Chaplin,eng ENG,"MF,FW",CM,Ipswich Town,eng Premier League,27.0,22,10,857,9.5,1,0.7,8,29,235,319,73.7,10,9,0,21,7,390,13,4,8,23,2.32,0.11,1,1.5,16,3,0.06,0.33,15,5,4,8,3,0,0.105,0.074,0.842,3.053,24.737,33.579,1.053,0.947,0.0,2.211,0.737,41.053,1.368,0.421,0.842,2.421,0.105,0.158,1.684,0.316,1.579,0.526,0.421,0.842,0.316,0.0,1
Jhoanner Chávez,ec ECU,"DF,MF",CDM,Lens,fr Ligue 1,22.0,10,7,596,6.6,0,0.7,9,9,230,308,74.7,0,30,19,10,8,373,14,3,6,36,2.27,0.0,1,0.3,5,3,0.2,0.33,9,5,6,10,13,0,0.0,0.106,1.364,1.364,34.848,46.667,0.0,4.545,2.879,1.515,1.212,56.515,2.121,0.455,0.909,5.455,0.152,0.045,0.758,0.455,1.364,0.758,0.909,1.515,1.97,0.0,0
Rayan Cherki,fr FRA,"FW,MF",CAM,Lyon,fr Ligue 1,20.0,30,22,2041,22.7,11,11.1,75,206,1079,1375,78.5,22,118,98,97,77,1573,106,48,97,184,6.44,0.88,8,5.0,45,19,0.18,0.42,15,12,7,6,6,0,0.485,0.489,3.304,9.075,47.533,60.573,0.969,5.198,4.317,4.273,3.392,69.295,4.67,2.115,4.273,8.106,0.352,0.22,1.982,0.837,0.661,0.529,0.308,0.264,0.264,0.0,2
Pedro Chirivella,es ESP,MF,CDM,Nantes,fr Ligue 1,27.0,30,28,2348,26.1,2,1.8,19,170,1336,1570,85.1,4,19,7,169,24,1740,16,3,7,25,2.11,0.23,0,0.5,8,2,0.0,0.0,44,29,19,25,45,0,0.077,0.069,0.728,6.513,51.188,60.153,0.153,0.728,0.268,6.475,0.92,66.667,0.613,0.115,0.268,0.958,0.0,0.019,0.307,0.077,1.686,1.111,0.728,0.958,1.724,0.0,0
Joris Chotard,fr FRA,MF,CDM,Montpellier,fr Ligue 1,22.0,26,23,1892,21.0,0,0.5,7,80,672,822,81.8,5,30,1,80,11,1012,20,8,16,35,1.2,0.0,1,1.3,19,3,0.05,0.33,39,27,19,28,52,1,0.0,0.024,0.333,3.81,32.0,39.143,0.238,1.429,0.048,3.81,0.524,48.19,0.952,0.381,0.762,1.667,0.048,0.062,0.905,0.143,1.857,1.286,0.905,1.333,2.476,0.048,0
Ryan Christie,sct SCO,MF,CDM,Bournemouth,eng Premier League,29.0,29,27,2117,23.5,3,3.5,41,137,837,1056,79.3,8,48,26,118,33,1376,34,23,48,44,3.62,0.38,2,1.8,33,12,0.06,0.17,54,33,30,44,51,3,0.128,0.149,1.745,5.83,35.617,44.936,0.34,2.043,1.106,5.021,1.404,58.553,1.447,0.979,2.043,1.872,0.085,0.077,1.404,0.511,2.298,1.404,1.277,1.872,2.17,0.128,0
Samuel Chukwueze,ng NGA,"FW,MF",CAM,Milan,it Serie A,25.0,26,9,925,10.3,2,3.0,27,36,320,422,75.8,4,50,17,18,21,556,48,26,47,116,4.77,0.19,3,2.7,32,8,0.09,0.38,17,11,2,3,9,0,0.194,0.291,2.621,3.495,31.068,40.971,0.388,4.854,1.65,1.748,2.039,53.981,4.66,2.524,4.563,11.262,0.291,0.262,3.107,0.777,1.65,1.068,0.194,0.291,0.874,0.0,2
Pathé Ciss,sn SEN,"MF,DF",CDM,Rayo Vallecano,es La Liga,30.0,33,25,2140,23.8,1,1.1,16,128,999,1179,84.7,5,4,0,102,8,1449,19,14,23,12,1.98,0.08,4,1.8,21,6,0.19,0.67,49,24,40,31,61,3,0.042,0.046,0.672,5.378,41.975,49.538,0.21,0.168,0.0,4.286,0.336,60.882,0.798,0.588,0.966,0.504,0.168,0.076,0.882,0.252,2.059,1.008,1.681,1.303,2.563,0.126,0
Djaoui Cissé,fr FRA,MF,CDM,Rennes,fr Ligue 1,20.0,14,14,1121,12.5,0,0.2,6,84,547,625,87.5,1,3,0,66,11,755,16,13,18,14,2.17,0.08,1,0.4,15,7,0.07,0.14,33,18,13,29,11,1,0.0,0.016,0.48,6.72,43.76,50.0,0.08,0.24,0.0,5.28,0.88,60.4,1.28,1.04,1.44,1.12,0.08,0.032,1.2,0.56,2.64,1.44,1.04,2.32,0.88,0.08,0
Seydouba Cissé,gn GUI,MF,CDM,Leganés,es La Liga,23.0,34,31,2435,27.1,1,1.0,17,110,972,1149,84.6,2,10,3,86,15,1409,26,30,45,42,1.74,0.18,3,3.0,24,5,0.13,0.6,59,37,12,25,45,1,0.037,0.037,0.627,4.059,35.867,42.399,0.074,0.369,0.111,3.173,0.554,51.993,0.959,1.107,1.661,1.55,0.111,0.111,0.886,0.185,2.177,1.365,0.443,0.923,1.661,0.037,0
Patrick Ciurria,it ITA,"MF,DF",CDM,Monza,it Serie A,29.0,21,12,1111,12.3,1,2.3,13,27,313,433,72.3,1,61,25,19,8,542,19,5,12,52,2.11,0.16,1,0.8,11,2,0.09,0.5,22,14,6,13,22,0,0.081,0.187,1.057,2.195,25.447,35.203,0.081,4.959,2.033,1.545,0.65,44.065,1.545,0.407,0.976,4.228,0.081,0.065,0.894,0.163,1.789,1.138,0.488,1.057,1.789,0.0,0
Jack Clarke,eng ENG,"FW,MF",CM,Ipswich Town,eng Premier League,23.0,32,12,1181,13.1,4,2.3,28,44,302,393,76.8,1,13,7,27,9,553,39,25,50,57,3.81,0.38,0,1.2,17,2,0.0,0.0,32,20,7,9,29,2,0.305,0.176,2.137,3.359,23.053,30.0,0.076,0.992,0.534,2.061,0.687,42.214,2.977,1.908,3.817,4.351,0.0,0.092,1.298,0.153,2.443,1.527,0.534,0.687,2.214,0.153,1
Alexis Claude-Maurice,fr FRA,"MF,FW",CM,Augsburg,de Bundesliga,26.0,28,25,2109,23.4,2,1.2,21,61,543,655,82.9,3,21,0,38,21,994,59,42,90,102,3.29,0.26,9,4.7,59,22,0.15,0.41,41,26,15,16,8,1,0.085,0.051,0.897,2.607,23.205,27.991,0.128,0.897,0.0,1.624,0.897,42.479,2.521,1.795,3.846,4.359,0.385,0.201,2.521,0.94,1.752,1.111,0.641,0.684,0.342,0.043,1
Jonathan Clauss,fr FRA,"DF,MF",CAM,Nice,fr Ligue 1,31.0,28,27,2303,25.6,8,7.7,55,105,1006,1399,71.9,4,190,108,70,47,1675,53,11,28,160,3.87,0.59,3,2.2,26,8,0.12,0.38,52,35,48,25,68,3,0.312,0.301,2.148,4.102,39.297,54.648,0.156,7.422,4.219,2.734,1.836,65.43,2.07,0.43,1.094,6.25,0.117,0.086,1.016,0.312,2.031,1.367,1.875,0.977,2.656,0.117,2
Nathaniel Clyne,eng ENG,"DF,MF",CDM,Crystal Palace,eng Premier League,33.0,13,5,483,5.4,0,0.3,3,7,171,225,76.0,1,7,0,16,2,273,6,0,1,8,0.56,0.0,0,0.0,2,0,0.0,0.0,12,8,3,4,14,1,0.0,0.056,0.556,1.296,31.667,41.667,0.185,1.296,0.0,2.963,0.37,50.556,1.111,0.0,0.185,1.481,0.0,0.0,0.37,0.0,2.222,1.481,0.556,0.741,2.593,0.185,0
Lorenzo Colombo,it ITA,"FW,MF",CM,Empoli,it Serie A,22.0,37,26,2233,24.8,2,2.9,21,48,343,508,67.5,3,10,0,25,12,837,27,24,50,116,2.21,0.12,6,5.9,55,18,0.09,0.28,31,14,2,33,16,1,0.081,0.117,0.847,1.935,13.831,20.484,0.121,0.403,0.0,1.008,0.484,33.75,1.089,0.968,2.016,4.677,0.242,0.238,2.218,0.726,1.25,0.565,0.081,1.331,0.645,0.04,1
Andrea Colpani,it ITA,"FW,MF",CM,Fiorentina,it Serie A,25.0,24,17,1432,15.9,1,1.3,17,57,376,466,80.7,2,33,22,19,15,609,37,12,27,129,2.7,0.31,2,2.7,35,12,0.06,0.17,15,9,8,7,10,0,0.063,0.082,1.069,3.585,23.648,29.308,0.126,2.075,1.384,1.195,0.943,38.302,2.327,0.755,1.698,8.113,0.126,0.17,2.201,0.755,0.943,0.566,0.503,0.44,0.629,0.0,1
Eray Cömert,ch SUI,"DF,MF",CDM,Valladolid,es La Liga,26.0,25,21,1779,19.8,0,0.0,0,48,805,918,87.7,0,0,0,47,1,1114,9,4,4,5,0.61,0.0,0,0.9,9,1,0.0,0.0,24,14,24,28,75,2,0.0,0.0,0.0,2.424,40.657,46.364,0.0,0.0,0.0,2.374,0.051,56.263,0.455,0.202,0.202,0.253,0.0,0.045,0.455,0.051,1.212,0.707,1.212,1.414,3.788,0.101,0
Santi Comesaña,es ESP,MF,CDM,Villarreal,es La Liga,27.0,35,30,2560,28.4,2,2.0,27,154,1163,1374,84.6,7,14,0,143,30,1734,39,18,34,58,2.74,0.39,4,4.6,39,8,0.1,0.5,85,49,19,56,56,1,0.07,0.07,0.951,5.423,40.951,48.38,0.246,0.493,0.0,5.035,1.056,61.056,1.373,0.634,1.197,2.042,0.141,0.162,1.373,0.282,2.993,1.725,0.669,1.972,1.972,0.035,0
Francisco Conceição,pt POR,"FW,MF",CAM,Juventus,it Serie A,21.0,26,12,1340,14.9,3,4.3,28,35,427,545,78.3,0,62,18,16,20,739,95,35,79,143,4.3,0.6,3,2.3,40,13,0.08,0.23,23,14,6,7,6,0,0.201,0.289,1.879,2.349,28.658,36.577,0.0,4.161,1.208,1.074,1.342,49.597,6.376,2.349,5.302,9.597,0.201,0.154,2.685,0.872,1.544,0.94,0.403,0.47,0.403,0.0,2
Tomás Conechny,ar ARG,"FW,MF",CM,Alavés,es La Liga,26.0,22,9,847,9.4,0,0.3,7,23,210,329,63.8,2,31,3,14,11,457,14,6,13,61,1.48,0.0,1,2.4,22,10,0.05,0.1,15,12,6,14,10,0,0.0,0.032,0.745,2.447,22.34,35.0,0.213,3.298,0.319,1.489,1.17,48.617,1.489,0.638,1.383,6.489,0.106,0.255,2.34,1.064,1.596,1.277,0.638,1.489,1.064,0.0,1
Sirlord Conteh,de GER,"FW,MF",CM,Heidenheim,de Bundesliga,28.0,29,4,892,9.9,1,2.6,14,19,158,224,70.5,0,20,0,17,6,301,29,6,13,75,2.82,0.4,1,2.1,13,5,0.08,0.2,9,5,1,1,8,0,0.101,0.263,1.414,1.919,15.96,22.626,0.0,2.02,0.0,1.717,0.606,30.404,2.929,0.606,1.313,7.576,0.101,0.212,1.313,0.505,0.909,0.505,0.101,0.101,0.808,0.0,1
Lewis Cook,eng ENG,"MF,DF",CDM,Bournemouth,eng Premier League,27.0,36,32,2978,33.1,3,4.1,48,158,1224,1585,77.2,3,132,77,157,26,1900,33,13,20,52,2.69,0.15,1,0.9,14,4,0.07,0.25,81,42,41,30,70,0,0.091,0.124,1.45,4.773,36.979,47.885,0.091,3.988,2.326,4.743,0.785,57.402,0.997,0.393,0.604,1.571,0.03,0.027,0.423,0.121,2.447,1.269,1.239,0.906,2.115,0.0,0
Ángel Correa,ar ARG,"FW,MF",CM,Atlético Madrid,es La Liga,29.0,31,3,805,8.9,1,2.1,14,25,206,280,73.6,1,24,7,19,10,419,30,13,38,85,3.92,0.56,4,4.5,34,14,0.12,0.29,9,3,4,10,8,0,0.112,0.236,1.573,2.809,23.146,31.461,0.112,2.697,0.787,2.135,1.124,47.079,3.371,1.461,4.27,9.551,0.449,0.506,3.82,1.573,1.011,0.337,0.449,1.124,0.899,0.0,1
Joaquín Correa,ar ARG,"FW,MF",CAM,Inter,it Serie A,29.0,19,6,731,8.1,2,2.0,10,42,310,361,85.9,5,8,0,24,12,438,22,6,10,45,3.07,0.49,2,2.1,14,6,0.14,0.33,11,5,0,3,6,0,0.247,0.247,1.235,5.185,38.272,44.568,0.617,0.988,0.0,2.963,1.481,54.074,2.716,0.741,1.235,5.556,0.247,0.259,1.728,0.741,1.358,0.617,0.0,0.37,0.741,0.0,2
Coba da Costa,es ESP,"MF,FW",CM,Getafe,es La Liga,22.0,19,12,1006,11.2,1,1.4,9,16,195,303,64.4,3,41,1,14,10,504,46,19,56,83,3.31,0.36,1,1.1,23,8,0.04,0.13,29,13,8,24,10,0,0.089,0.125,0.804,1.429,17.411,27.054,0.268,3.661,0.089,1.25,0.893,45.0,4.107,1.696,5.0,7.411,0.089,0.098,2.054,0.714,2.589,1.161,0.714,2.143,0.893,0.0,1
Samu Costa,pt POR,MF,CDM,Mallorca,es La Liga,23.0,32,31,2649,29.4,2,1.2,15,116,1164,1442,80.7,4,20,0,117,14,1834,24,13,33,69,1.9,0.2,0,1.8,30,8,0.0,0.0,90,44,32,48,85,1,0.068,0.041,0.51,3.946,39.592,49.048,0.136,0.68,0.0,3.98,0.476,62.381,0.816,0.442,1.122,2.347,0.0,0.061,1.02,0.272,3.061,1.497,1.088,1.633,2.891,0.034,0
Lassana Coulibaly,ml MLI,MF,CDM,Lecce,it Serie A,28.0,38,30,2667,29.6,0,0.9,12,93,775,955,81.2,5,13,0,68,7,1229,21,18,38,49,1.55,0.07,1,0.8,9,3,0.11,0.33,48,29,18,45,46,1,0.0,0.03,0.405,3.142,26.182,32.264,0.169,0.439,0.0,2.297,0.236,41.52,0.709,0.608,1.284,1.655,0.034,0.027,0.304,0.101,1.622,0.98,0.608,1.52,1.554,0.034,0
Tanguy Coulibaly,fr FRA,"FW,MF",CM,Montpellier,fr Ligue 1,23.0,25,17,1485,16.5,0,1.3,18,20,292,372,78.5,2,21,4,8,5,583,48,29,54,97,2.9,0.19,3,3.5,30,13,0.1,0.23,32,24,11,18,3,1,0.0,0.079,1.091,1.212,17.697,22.545,0.121,1.273,0.242,0.485,0.303,35.333,2.909,1.758,3.273,5.879,0.182,0.212,1.818,0.788,1.939,1.455,0.667,1.091,0.182,0.061,1
Nicolas Cozza,fr FRA,"DF,MF",CDM,Nantes,fr Ligue 1,25.0,27,23,2051,22.8,0,1.4,7,64,608,782,77.7,1,27,0,41,10,1044,25,5,20,56,0.88,0.09,1,1.4,17,6,0.06,0.17,59,41,25,25,69,0,0.0,0.061,0.307,2.807,26.667,34.298,0.044,1.184,0.0,1.798,0.439,45.789,1.096,0.219,0.877,2.456,0.044,0.061,0.746,0.263,2.588,1.798,1.096,1.096,3.026,0.0,0
Bryan Cristante,it ITA,MF,CDM,Roma,it Serie A,29.0,30,23,2045,22.7,2,1.4,18,145,1067,1296,82.3,5,15,0,143,17,1497,25,6,14,41,2.24,0.22,4,2.1,30,7,0.13,0.57,48,29,19,20,36,1,0.088,0.062,0.793,6.388,47.004,57.093,0.22,0.661,0.0,6.3,0.749,65.947,1.101,0.264,0.617,1.806,0.176,0.093,1.322,0.308,2.115,1.278,0.837,0.881,1.586,0.044,0
Juan Cruz,es ESP,"FW,MF",CM,Leganés,es La Liga,24.0,34,26,2257,25.1,4,4.1,24,66,488,716,68.2,9,92,17,34,32,951,59,40,78,131,2.03,0.24,5,2.7,33,14,0.15,0.36,32,19,13,18,31,0,0.159,0.163,0.956,2.629,19.442,28.526,0.359,3.665,0.677,1.355,1.275,37.888,2.351,1.594,3.108,5.219,0.199,0.108,1.315,0.558,1.275,0.757,0.518,0.717,1.235,0.0,1
Juan Cuadrado,co COL,"DF,MF",CAM,Atalanta,it Serie A,36.0,23,7,832,9.2,2,2.0,19,64,476,601,79.2,2,56,20,34,24,722,41,17,40,90,4.0,0.32,0,0.9,16,4,0.0,0.0,19,9,7,14,9,0,0.217,0.217,2.065,6.957,51.739,65.326,0.217,6.087,2.174,3.696,2.609,78.478,4.457,1.848,4.348,9.783,0.0,0.098,1.739,0.435,2.065,0.978,0.761,1.522,0.978,0.0,2
Matheus Cunha,br BRA,"MF,FW",CAM,Wolves,eng Premier League,25.0,33,29,2597,28.9,6,7.7,56,144,811,1133,71.6,14,142,73,92,58,1561,112,61,137,161,4.57,0.55,15,8.6,110,44,0.14,0.34,38,22,17,21,23,0,0.208,0.266,1.938,4.983,28.062,39.204,0.484,4.913,2.526,3.183,2.007,54.014,3.875,2.111,4.74,5.571,0.519,0.298,3.806,1.522,1.315,0.761,0.588,0.727,0.796,0.0,2
Lucas Da Cunha,fr FRA,MF,CAM,Como,it Serie A,23.0,36,30,2613,29.0,2,3.8,55,154,1439,1702,84.5,3,102,60,140,29,1929,63,12,30,85,3.79,0.24,3,2.0,37,14,0.08,0.21,45,25,17,18,30,1,0.069,0.131,1.897,5.31,49.621,58.69,0.103,3.517,2.069,4.828,1.0,66.517,2.172,0.414,1.034,2.931,0.103,0.069,1.276,0.483,1.552,0.862,0.586,0.621,1.034,0.034,2
Patson Daka,zm ZAM,"FW,MF",CM,Leicester City,eng Premier League,25.0,23,6,736,8.2,0,0.1,1,8,106,147,72.1,2,3,0,6,1,252,11,2,15,36,1.23,0.12,1,1.3,15,4,0.07,0.25,19,10,1,7,12,0,0.0,0.012,0.122,0.976,12.927,17.927,0.244,0.366,0.0,0.732,0.122,30.732,1.341,0.244,1.829,4.39,0.122,0.159,1.829,0.488,2.317,1.22,0.122,0.854,1.463,0.0,1
Mikkel Damsgaard,dk DEN,"MF,FW",CAM,Brentford,eng Premier League,24.0,38,34,2911,32.3,10,8.4,63,234,1107,1529,72.4,27,144,60,167,73,1883,73,50,97,137,3.71,0.65,2,2.8,35,7,0.06,0.29,83,44,27,40,31,2,0.31,0.26,1.95,7.245,34.272,47.337,0.836,4.458,1.858,5.17,2.26,58.297,2.26,1.548,3.003,4.241,0.062,0.087,1.084,0.217,2.57,1.362,0.836,1.238,0.96,0.062,2
Arnaut Danjuma,nl NED,"FW,MF",CM,Girona,es La Liga,27.0,25,15,1335,14.8,0,1.7,22,41,318,438,72.6,1,76,30,17,24,588,91,24,67,185,2.7,0.0,2,3.6,30,14,0.07,0.14,8,6,2,5,4,0,0.0,0.115,1.486,2.77,21.486,29.595,0.068,5.135,2.027,1.149,1.622,39.73,6.149,1.622,4.527,12.5,0.135,0.243,2.027,0.946,0.541,0.405,0.135,0.338,0.27,0.0,1
Kévin Danois,fr FRA,MF,CDM,Auxerre,fr Ligue 1,20.0,22,16,1460,16.2,0,2.2,25,95,585,718,81.5,3,14,0,62,11,912,19,21,41,50,3.33,0.37,0,1.5,17,3,0.0,0.0,49,30,20,17,20,0,0.0,0.136,1.543,5.864,36.111,44.321,0.185,0.864,0.0,3.827,0.679,56.296,1.173,1.296,2.531,3.086,0.0,0.093,1.049,0.185,3.025,1.852,1.235,1.049,1.235,0.0,0
Bence Dárdai,hu HUN,MF,CDM,Wolfsburg,de Bundesliga,18.0,21,16,1304,14.5,1,1.0,11,39,357,445,80.2,1,10,1,35,9,595,5,3,12,24,1.66,0.14,1,1.0,11,1,0.09,1.0,24,14,12,20,28,1,0.069,0.069,0.759,2.69,24.621,30.69,0.069,0.69,0.069,2.414,0.621,41.034,0.345,0.207,0.828,1.655,0.069,0.069,0.759,0.069,1.655,0.966,0.828,1.379,1.931,0.069,0
Sergi Darder,es ESP,"MF,FW",CM,Mallorca,es La Liga,30.0,38,34,2744,30.5,6,3.7,54,142,981,1302,75.3,8,163,71,122,33,1558,37,34,74,83,3.15,0.23,2,2.1,36,9,0.06,0.22,40,26,16,19,23,1,0.197,0.121,1.77,4.656,32.164,42.689,0.262,5.344,2.328,4.0,1.082,51.082,1.213,1.115,2.426,2.721,0.066,0.069,1.18,0.295,1.311,0.852,0.525,0.623,0.754,0.033,1
Zuriko Davitashvili,ge GEO,"FW,MF",CM,Saint-Étienne,fr Ligue 1,23.0,33,32,2778,30.9,8,4.7,50,73,737,938,78.6,6,85,68,38,23,1298,95,46,123,224,3.85,0.5,9,8.1,68,24,0.1,0.29,22,14,14,20,14,0,0.259,0.152,1.618,2.362,23.851,30.356,0.194,2.751,2.201,1.23,0.744,42.006,3.074,1.489,3.981,7.249,0.291,0.262,2.201,0.777,0.712,0.453,0.453,0.647,0.453,0.0,1
Paweł Dawidowicz,pl POL,"DF,MF",CDM,Hellas Verona,it Serie A,29.0,26,24,1845,20.5,0,0.0,0,39,653,797,81.9,1,1,0,52,1,982,10,2,4,3,0.39,0.05,0,0.3,4,0,0.0,0.0,45,24,20,16,70,2,0.0,0.0,0.0,1.902,31.854,38.878,0.049,0.049,0.0,2.537,0.049,47.902,0.488,0.098,0.195,0.146,0.0,0.015,0.195,0.0,2.195,1.171,0.976,0.78,3.415,0.098,0
Kevin De Bruyne,be BEL,"MF,FW",CAM,Manchester City,eng Premier League,33.0,28,19,1702,18.9,7,8.0,57,157,908,1196,75.9,15,145,94,88,59,1368,51,13,34,150,5.97,0.58,4,5.1,57,15,0.07,0.27,17,9,7,8,10,1,0.37,0.423,3.016,8.307,48.042,63.28,0.794,7.672,4.974,4.656,3.122,72.381,2.698,0.688,1.799,7.937,0.212,0.27,3.016,0.794,0.899,0.476,0.37,0.423,0.529,0.053,2
Charles De Ketelaere,be BEL,"MF,FW",CAM,Atalanta,it Serie A,23.0,36,25,2070,23.0,7,6.0,39,140,754,995,75.8,14,56,2,81,53,1238,108,43,95,211,3.83,0.61,7,7.3,48,20,0.15,0.35,13,9,3,14,9,1,0.304,0.261,1.696,6.087,32.783,43.261,0.609,2.435,0.087,3.522,2.304,53.826,4.696,1.87,4.13,9.174,0.304,0.317,2.087,0.87,0.565,0.391,0.13,0.609,0.391,0.043,2
Rodrigo De Paul,ar ARG,MF,CAM,Atlético Madrid,es La Liga,30.0,34,23,2106,23.4,5,5.6,42,231,1449,1773,81.7,27,59,12,180,58,1950,85,14,35,64,3.84,0.56,3,1.3,19,4,0.16,0.75,33,26,6,25,15,3,0.214,0.239,1.795,9.872,61.923,75.769,1.154,2.521,0.513,7.692,2.479,83.333,3.632,0.598,1.496,2.735,0.128,0.056,0.812,0.171,1.41,1.111,0.256,1.068,0.641,0.128,2
Alessandro Deiola,it ITA,MF,CDM,Cagliari,it Serie A,28.0,29,16,1432,15.9,1,0.6,6,40,384,523,73.4,2,14,0,45,8,686,11,3,4,36,1.63,0.19,2,1.7,18,5,0.11,0.4,31,20,13,26,38,0,0.063,0.038,0.377,2.516,24.151,32.893,0.126,0.881,0.0,2.83,0.503,43.145,0.692,0.189,0.252,2.264,0.126,0.107,1.132,0.314,1.95,1.258,0.818,1.635,2.39,0.0,0
Fisayo Dele-Bashiru,ng NGA,"MF,FW",CM,Lazio,it Serie A,23.0,20,12,947,10.5,1,0.8,10,26,315,359,87.7,0,7,0,23,4,436,23,14,22,57,2.28,0.09,3,1.1,16,5,0.19,0.6,10,6,4,10,5,0,0.095,0.076,0.952,2.476,30.0,34.19,0.0,0.667,0.0,2.19,0.381,41.524,2.19,1.333,2.095,5.429,0.286,0.105,1.524,0.476,0.952,0.571,0.381,0.952,0.476,0.0,1
Justin Devenny,nir NIR,MF,CDM,Crystal Palace,eng Premier League,20.0,23,4,507,5.6,1,0.6,7,21,148,205,72.2,1,17,9,22,4,279,5,2,4,13,2.66,0.18,1,0.8,10,6,0.1,0.17,17,12,0,6,11,0,0.179,0.107,1.25,3.75,26.429,36.607,0.179,3.036,1.607,3.929,0.714,49.821,0.893,0.357,0.714,2.321,0.179,0.143,1.786,1.071,3.036,2.143,0.0,1.071,1.964,0.0,0
Boulaye Dia,sn SEN,"MF,FW",CM,Lazio,it Serie A,27.0,35,27,2177,24.2,3,4.2,26,51,494,591,83.6,7,2,0,37,7,802,23,17,42,114,2.27,0.33,9,7.1,39,19,0.23,0.47,22,10,6,12,16,1,0.124,0.174,1.074,2.107,20.413,24.421,0.289,0.083,0.0,1.529,0.289,33.14,0.95,0.702,1.736,4.711,0.372,0.293,1.612,0.785,0.909,0.413,0.248,0.496,0.661,0.041,1
